" $52 a night to park, read very carefully about the room service charges,swimming pool and internet charge in your room, and of course the mini bar ."					Excellent service and Awesome view .	Customer Service needs improvement .	front desk staff need customer service 101 .	 Exceptional rooms and service !
" A very nice, classic, comfortable, full, service hotel ."					Exceptional View and Fabulous Service .	 The customer service stinks .		" The room was nice, but the service was horriable ."
 A very recent survey mentioned that most high end hotels are no longer offering the service or will not in the near future .					Fabulous views  Amazing service !	 Could have had a bit nicer service .		
" Also worth mentioning is that this can be quite a 'conference' destination which can make things very busy if you are staying during one of these events  service can be slow and erratic, and the wait for elevators can be long and frustrating !"						 Very disappointing from a service perspective .		
" Also, room service told me that I could not order scrambled eggs because it was after 11 AM ."								
" Also, they charge exorbitant prices for mini, bar items and room service meals, so be prepared for that ."								
 Although my key card always malfunctioned   the service was top notch .								
" Altogether a nice and modern business hotel with all kind of service, but nothing with individuality and charme ."								
" And to offer nothing to the woman who paid in advance and booked in advance, , , , , terrible customer service ."								
" As for service issues, the concierge gave us erroneous info about the Navy Pier trolley  the maid failed to replace toiletries and towels, despite a $3 tip that had been left I normally tip $1, 2 per day and wait until the day we leave to tip the maid, but I decided to try something different this time since we were at a 4"								
 Beautiful hotel with great service and location .								
 Bell Service was helpful in arranging a van cab to take us to the airport .								
 But the service just can’t be beat .								
" By the way, all housekeeping and room service requests are handled promptly ."								
" Chicago is fantastic and i would recommend giordinos pizza  , we also did the chicago bus co tour, we paid fpr a 3 day pass which was worth the money because it is a hop on and off service and can be used to save your legs when you start to get tired ."								
 Clean and comfortable with friendly service and a convenient Chicago location .								
" Comfortable beds, friendly service, not as many noisy sirens !"								
" Concierge service from our experience was good from one but bad from another so if you don't get good help the first time you ask, just go ask again later when someone else is there ."								
" Even with the amount we saved on the room, we could not justify spending the amount they listed for room service ."								
" Everything was wonderful, including the staff and service ."								
" For the location and comfort of the new rooms, this is the perfect hotel, however come armed with your credit card as they appear to be funding the refurbishment through room service and mini bar charges, not to mention the room rates ."								
" Got Swissotel for a very good price, but was a little anxious since some of the reviews on this site complained of slow elevator service, unhelpful staff, etc ."								
" Great service in there, and a nice quiet place to grab a drink and just talk ."								
" Great service, nice view, nice room ."								
" Great views, bathrooms  , and room service ."								
" Great views, location, top notch service ."								
" Guys won’t care, women may feel a little ill at ease, but could certainly call room service ."								
" He got our heavy bags inside, showed us around the room, explained about room service, etc ."								
" Honestly, I would rate the service and location a three, the rooms a four, and the view a five !"								
 I ate their last night and the food and service were top noch .								
" I cannot comment on room services, however the staff in the front desk were professional and helpful ."								
" I did not find the service staff to be above average in any way, with the exception of the lovely concierge ."								
 I ended up ordering room service .								
 I had a note slipped under my door early Friday morning telling me that they were working on the guest services movie thing and that they hoped to have it back working that night .								
 I had also stayed at the Swissotel Boston several years ago and this was a much different experience from a service point of view .								
 I had breakfast in the hotel restaurant and room service .								
" I have in the past called Guest Services for the loan of a mini, fridge which was previously installed in the room with no problem  this time round, I was told there was a flat US$50 fee for this, irrespective of the duration of the stay ."								
" I left the hotel for 4 hours in the afternoon with the do, not, disturb sign removed, but it was not serviced when I returned ."								
" I ordered room service late on Saturday night, and the gentlemen who brought it up was one of the most pleasant people I encountered in Chicago !"								
 I recommend this high class hotel with perfect service and will stay there again .								
 I won't be staying here again until I hear that they have upgraded this service .								
" I would recommend this hotel, they gave great service even though we booked with [, , ] ."								
" If you are interested in going to Navy Pier, there is a free trolley service on the side of the Hyatt hotel, you can catch, just make sure it has the yellow star on the trolley ."								
" In my eyes that is a step up from stealing because we did not utilize the mini bar, room service or the business center ."								
 Internet service worked fine with a $10 daily charge .								
 It amazes me that a hotel of this caliber does not understand customer service .								
 It exhibits neither Swiss efficiency nor American service .								
 Just don't ask anyone to provide you with outstanding service !								
 Just stayed for one night but did not receive the service one would expect from a 4 star hotel .								
 Lots of folks were checking out and the elevator service was slow .								
" Maid service, perfect no complaints ."								
 Mediocre room and service for a very extravagant price .								
" Mom didn’t want to walk too far at night, so after leaving Navy Pier   we came back to the room and I ordered room service for just the second time in my life ."								
" My family and I recently stayed in the Chicago hotel,   and I was so completely disappointed in both the room and the service that not only will I never stay in one of their facilities again, but I will certainly encourage all of my friends and family to do the same ."								
" My father and I were in town for four days from Los Angeles to catch a game at Wrigley Stadium, and the front desk and bar staff were all very friendly and accommodating, providing recommendations to us about the attractions, and transportation services ."								
 My husband and I had one of our most memorable hotel experiences at the Suisse due to the service .								
 Never had a problem with any service personnel .								
 No greeting when you called them   and the service was fine but indifferent .								
" no more bathrobes in corner rooms suites  coffee service in room is parred way down  the buffet offered in the cafe is not as bountiful, although the cafe staff is inpeccable and extremely gracious and will bring you what you wish  check in staff not at all eager to upgrade you, even though you may be a frequent visitor ."								
" no robes in the rooms, ice machines are not on every floor  , no turn down service at night, and when housekeeping did come, they did not replace the shower gel we had used which was totally empty ."								
 Not sure why hotels don't seem to understand that their guests opinion of the hotel is influenced more by housekeeping services than it is by how ornate the lobby decor is .								
" Now on the side of the service andstaff, there is a real &quot snobbish&quot  attitude that isprobably related to the fact that the Swedish, Germanprogeny of Europe work at the hotel, except as luggagehandlers, toilet cleaners and car parkers ."								
" On top of all of this, the concierge was so unhelpful and unknowledgeable that we called the W Hotel to use their services ."								
 One thing that really impressed us was the excellent housekeeping service .								
" One very simple, but very appreciated touch was the water service in the front lobby ."								
 Ordering soup on room service will set you back around $20 								
 Our last hotel stay downtown was at the Sofitel &amp  I felt the service and hotel were much better .								
" Overall, I think the Swissotel is a perfectly nice facility and I feel like we got a good deal but I would never consider paying full price to stay there as you can get the same amenities and service at lower rates elsewhere ."								
" Overall, this hotel from top to bottom ,  service, furnishings, beds, appeal ,  is akin to a mediocre Holiday Inn ."								
" potential, but is probably in need of a renovation and some intense customer service training for its staff ."								
" Room service food quality was very good but with a $7 tray charge plus 20% service, I then absolutely refuse to tip for delivery ."								
 Room service got my breakfast order wrong but they made it up the next day when I ordered a kids meal and got enough food for three people .								
 Room service is limited after 10 p .								
" Room service quality was great, but the prices were outrageous ."								
" Room service was efficient, average priced, and decent food ."								
 Room service was expensive in the hotel .								
" Room service was extortionate though, very very expensive, so we didnt bother, as food outlets a few minutes walk away ."								
 Room service was good and the staff extremely friendly .								
" Room service, however, was prompt and good ."								
" rooms, service, location were top notch ."								
" Service at the front desk was very friendly and efficient while room, service breakfasts were quite good and delivered promptly ."								
 Service was european and elegant .								
 Service was excellent   and housing came as soon as asked .								
 Service was excellent and the suites were large and comfortable .								
 Service was friendly and courteous .								
" Service was good ,  efficient and polite ."								
