  The new Nano has a very short battery life most likely due to all the new features .											 The battery is not as strong as it should be .	 It is easy to use and has great battery life .	 The only bad thing is it's battery life .	 Battery life seems to be good .	 The battery dies faster than my previous 2nd Gen Nano .	" I think Apple's idea is that instead of replacing the battery, you will exchange it for a newer iPod ."
 8 hours or less is a more realistic battery life .											" short battery life,have to keep changing it ."	 Battery life is excellent and the LCD display is clear and easy to see .	My only complaint with this product is that the battery doesn't last long at all		 My only complaint is that the battery doesn't last as long as my previous 2nd gen nano .	 Make it inconvenient to replace the battery  make it convenient to replace the iPod .
" Also, the battery life wasn't that long enough for me, but i'm new to this so it just might me be ."											" Battery life is bad, real bad ."	 Long battery life and easy directions make this a snap to use .				
 Battery drains even if I don't use it .																
" Battery Life  I bought this ipod to replace my 2nd gen 2gb ipod nano, because i filled that one's memory up ."																
 Battery Life  Product is exactly as advertised and was probably my wife's favorite gift this past Christmas .																
I love this ipod except for the battery life .																
																
 Battery life is much better as well .																
 Battery life is short  Received as a Christmas gift .																
" Battery life isn't amazing, Definitely need to get a case for it  I wanted to get a new iPod because I was upgrading from the mini ."																
" Battery life isn't great, but other than that, would highly recommend ."																
" battery life, becuase of all the features  I had an apple ipod 3rd generation and the 5th genteration is twice as good as the numbering would suggest ."																
" battery life, freezes up  I just got the 5th gen as a replacement for my 2nd gen nano ."																
" battery, not dummie proof  I love the color of this iPod ."																
" But the battery is a little bit unpleased, but it is very good ."																
" doesn't take pictures, battery life  It's my first ipod, but it's amazing ."																
" Easy to use, Great sound, long battery life, love the fact that I can tune in to my favorite radio station, and I'm into exercise so the pedometer with calories burned is a great addition ."																
 good quality  light  long battery  portable  scratch resistant																
 good quality  scratch resistant  light  portable  long battery																
" great in the car, light, portable, good quality, long battery,scratch resistant ."																
 I do not like it that I will have to get Apple to eventually replace the battery .																
 I have not found one thing other than the battery life last for only one full day of use .																
" I only wonder why the battery seems to drain when I'm not using it, even after sliding the top control button to off when shutting down ."																
 long battery  scratch resistant																
" Long Battery Life, Sleek Compact, Easy To Set Up, Reliable Performance, Great Sound, Lots of Storage bought it for the gym and it was just the right weight !"																
" One thing I noticed that was not so good was the battery life, but I've only charged it once and that was on the computer  as far as I've seen my computer doen't charge well with either of my iPods so the battery life is possibly greater than I thought if using a wall outlet ."																
" Overall, almost perfect just watch out or you will run out of battery life ."																
 Price battery replacement  The iPod basically does what Apple says it does .																
 Scratches easily and the battery does not last .																
" scratches easily, short battery life  I purchased this for my 6 year old son and he LOVES IT !"																
 shipping charges  I bought this ipod as a birthday gift and purchased the battery charger for the auto as well .																
 short battery life  I like the product .																
 short battery life  I moved up from an 8gb .																
																
" SHORT BATTERY LIFE,SCRATCHES EASY,  I DONT LIKE THE APPLES LIBRARY ."																
" shortened battery life, not kind to beginners  this ipod is a great new item with a camera and built in speaker ."																
" Shorter battery life than old iPod, camera is in inconvenient spot  When I first listened to a song on this iPod, the first thing that caught my attention was the audio quality ."																
" So, the battery thing is not that big a deal ."																
 The battery dies quickly and seems to die quicker in cold weather .																
 The battery doesn't last a long time especially when you're recording or watching a video but I just listen to music most of the time and it lasts me a good length of time doing that .																
 The battery is great and the screen as well .																
																
 the battery lasts 4 hours  great product for a great price .																
 the battery life  this was an awsome christmas present and i love it its really easy to use and sounds great .																
" The Pedometer feature seems accurate, but a battery waster ."																
 the pedometer is also very nice but seems like it drains the battery if you have it in  always on  mode .																
 The video camera works great and the battery																
 Then you find the battery only lasts about 1 .																
 this is my first ipod and its awsome the only thing i dont like is the battery life it lasts all day if you dont use it a lot but if you use it constantly like i do it only last about 4 or 5 hours not a big deal though .																
 Thought would have longer battery life before recharge  This is my first iPOD but if endurance is as I expect will not be my last .																
" Very easy to use, love the pedometer, lightweight, thin, nice screen, great sound, battery lasts much longer than stated  ."																
 Watching any videos drains the battery very quickly .																
 When you use the radio it uses a lot of battery life  i got this exact iPod for christmas .																
"5G lies a more mature iPod, many steps wiser and more able than its one, year, old  The iPod gains many incremental improvements, including a brighter screen and better video battery life, but probably the most appealing aspect is the tantalizing price points of $249 for the 30GB version and $349 for the huge 80GB version   ."																
5GB and the better battery life rated for up to 6 .																
"I bought the nano as a replacement for an older classic, which was a great unit but time has taken it's toll on the battery and screen ."																
																
"Long battery life, Decent camera for such a small device, excellent sound quality and easy to use !"																
"shoes if using vid cam for long time, it kills battery  Standard Def video recording, but still sharp !"																
