" 1 light weight, 2 long battery life, and 3 reasonable performance ."							5 hour battery life is really helpful .	 It's battery life and ease of replacement is key .	The battery life is as advertised here .	" Its battery life is much longer ,  though not quite the stated 10 ."	 It has the longest battery life of any notebook .	 The computer is quite fast and the battery is amazing .	 The battery life is amazing .		In terms of battery life its not really 10 .			The ~10 hour battery life is great .
" 1005ha has Longer battery life and $30 cheaper, plus people complained about the port covers getting annoying in the 1008 ."							5 hour battery life is great .		 the battery life is as advertised .	" and I love the battery, life I'm not sure it was 10 ."	 Battery life is the longest of any system I've ever had or seen .		"  the battery life is so good, it was not an issue !"		Real world battery life is less than the 10 .			And over 9 hours of battery life !
" 1incredible battery life, 2weight  it runs Windows XP not Vista [bleah !"											 It has the best battery life out of all the netbooks currently available .		 The battery life is quite extensive .		 The battery life is not its promised 10 .			
 A 6 cell battery costs over $79 dollars .													 The battery life is incredible .					
 A few hours later the battery light is on and green .													 First is the incredible battery life .					
" A few other things I'd like to point out is that you must push the micro, sized right angle end of the ac adapter until it snaps in place or the battery may not charge ."													The battery life is incredible .					
" Add the high running temperature to the poorer than expected battery life, and the Dell went back ."													 The long battery life is awesome !					
" After almost two months of using my new Eee PC 1005HA I can report no problem with the battery, bringing the battery to a full charge   or the charging brick itself ."													 The battery's longevity is amazing I get around 					
" After an initial full charging, I ran this netbook to 1% battery life before the first three times I recharged it ."													The battery life has been amazing so far .					
 After sending Fax and battery at my expense with a time													The battery life on this thing is truly incredible .					
" After you add sales tax, you are then approaching the price of the V series which gets twice the battery life ."																		
" Again, the long, lasting battery makes it worth it ."																		
" Also, if you're on the web a lot it does take up a little more battery but not enough that you can't still use it most of the day on one charge ."																		
" Although 1008HA is lighter and thinner, I felt that 1005HA is a better choice for me because of its removable, long battery life and easy RAM access ."																		
" And even better, has a built in webcam, an impeccable battery life, a great touch pad and exceptionally ergonomic design ."																		
																		
 And the battery last only about 7 hours of normal use   .																		
" And using the two USB port external ASUS disk drive, battery life decreases to only two hours ."																		
" And you can upgrade the ram and remove the battery to be replaced in a few years, or buy another battery to carry around ."																		
" another, i needed one that had a LONG battery life, since it would be a bother to have to charge a netbook every 4, 5 hours ."																		
 As a backup I purchased a second battery .																		
" As far as I can tell, I do not think the battery will last more than six hours for my use ."																		
 As for the ac adapter wigging out i've had no such problem as when plugged in it's always on and when on battery it lasts a long time .																		
" At this point, it is normal for the adapter to become very, very hot while charging all the way from low battery ."																		
 Battery life around 6 hours playing games or DVIX videos which in my book is simply awesome !																		
