  Gliding  can best define the comfort and quietness of the ride inside .								 The seats are extremely uncomfortable .	 The driver's seat is very uncomfortable .	 I do find the lumbar on the driver's seat a bit uncomfortable though .	 Seats are very comfortable and ride is very smooth !	 Lots of room and very comfortable .	 Comfort is my only real complaint .	 This car is very comfortable car to drive .
 A little pricy but it's really a comfortable car and a great driving machine .								 The seat is extremely uncomfortable .	 Front seats are very uncomfortable .	 The front driver seat's lumbar support seemed very uncomfortable at first .	 It's a comfortable ride and is very high quality .	 The interior design is roomy and very comfortable .	 My only complaint is comfort .	 There is an amazing comfort level with this car .
" Absolutely got a great car, roomy, comfortable, great ride for a nice price ."									 The driver seating is uncomfortable .					 This is by far the most comfortable vehicle I have owned .
" Although it is fun to drive and quality seems ok, the leather seats are very uncomfortable, especially on a long drive ."									" The driver, side seat is not comfortable ."					
" Although it's a lower trim level, it has high quality interior trim  very comfortable seats  and and very smooth, quiet ride ."														
" Ample room for someone that is 6'2 , and extremely comfortable for my daily commute   ."														
" Aside from missing the turbo's acceleration, I've preferred the Accord's better mileage, handling and comfort ."														
 At 6'3  I can sit comfortably in the drivers seat and have an unobstructed view out the windows .														
 At 6'5 it is very comfortable .														
" At first the seats seemed stiffer than I'd like, but after making a 2 1 2 hour trip, It felt very comfortable once I got the seat and lumbar adjusted to my liking ."														
 Awesome interior with great comfort .														
 Back seat comfort and entry exit are great .														
 but I do miss the more comfortable ride of my '05 & '96 Camry's .														
 Cloth front seats big & comfortable .														
 Comfort based on the quality and attention to detail Honda efficiently packs into this newly reclassified full size car .														
 Comfort inside is better than expected .														
 Comfortable ride no thanks to the comfort of the drivers seat !														
" Comfortable, good in snow, easy to drive ."														
" Don't get me wrong, the Accord is a comfortable car, I am just a big guy and the seats just feel like they could use a little more of something ."														
" DON'T rely on your test drive, the seats are Very uncomfortable and when the engine goes into the  econo  mode the vehicle  shifts rocks violently  forward and when leaving the  econo  mode it shifts rocks forward once again which means that the vehicle is  CONTINUOUSLY  SHAKING AND ROCKING ."														
" Door closure is solid, leather seats are very comfortable ."														
" Driver's seat is not fully adjustable using 8, way power seat which is very uncomfortable ."														
" Drivers seat not comfortable, the car itself compared to other models of similar class ."														
" Driving 55 miles per hr between Houston and Austin this slow is very painful, boring to drv,Our Avalanche averaged 15 city with a very comfortable seat and only 20 highway but the vast majority of our driving is in the city not a good trade off ."														
 Everyone loves the way it rides and we took it to the lake   without a single complaint of comfort .														
" extremely comfortable, more power than camry, lots of space, good fuel economy, and mean looking Cons :"														
 For a 4 cylinder car I am surprised at the comfortable and peppy drive .														
" For test drive , I wish I had removed the hard plastic from the driver's seat  tried harder to get comfortable in the non, electric seat  spent more time on rough roads ."														
" From the hard and uncomfortable driver seat, excessive body roll, several rattles in the interior and intrusive road noise, the vehicle just does not strike a chord n ."														
 Front seats much more comfortable .														
" Fun to drive, economic, very comfortable, and excellent on the highway ."														
" Fun to drive, safe, reliable, and comfortable ."														
" Good looking inside and out, comfortable and roomy, commendable performance, and excellent gas mileage ."														
" Great car, really comfortable and quiet ."														
 Great comfort in the Accord .														
" Has lots of features, is comfortable, everything works ."														
" Have to say the comfort, look, design and how it drives is first rate ."														
" However, long, distance comfort  is poor due to hard, narrow and deeply, bucketed seats combined with a very taut suspension which transmits even minor road imperfections through the whole vehicle ."														
" However, the 08 Accord is well designed, handles well for its size and the comfort level is so much better than the TL ."														
" However, there are a couple of things that kill it for me 1 terrible driver seat comfort, kills my back 2 lack luster interior design, my Acadia has much better comfort 3 the VCM drives me crazy because the constant change in cylinder use is perceptible enough to be an annoyance ."														
 I admire engine performance and comfort while driving atleast 30 mile a day to job .														
" I am extremely satisfied after the first week  though it was more costly, I still like the smooth power and handling of the V, 6, the comfort of the leather interior, and something new for me ."														
" I commute alot, so interior is important to me, and its leather is does not seem cheap   and comfort is top notch ."														
" I drive 140 miles daily, and found the comfort the best feature ."														
 I find the interior comfortable for short and long trips .														
 I fit in the Coupe comfortably .														
 I love the interior layout and comfort .														
" I previously owned a 98 Avalon, and found the seats more comfortable than the Honda ."														
" I previously owned a Chrysler 300 2006, so it is difficult going from a real comfortable interior, really massive dash to a bland and old fashioned interior ."														
 I wanted a larger car that was comfortable and the redesign of the Accord making it bigger made the difference .														
 I was slightly concerned about all the reviews with the seats being uncomfortable .														
" I went for comfort over performance to fit it in my budget so the EX, L with the 4 cyl engine ."														
" I would recommend this car for great value, comfort, & fun to drive !"														
" I'm 6' tall, and find the driving position pretty comfortable ."														
" I'm very sad ,  I loved my daughter's Civic and the dealer service is fantastic, but even good service can't help the uncomfortable seats ."														
" In fact, I find my 2006 Civic Ex w Nav to be a better built, more comfortable and more engaging car ."														
" Initially the dashboard controls were a little intimidating, but it doesn't take long to get comfortable with them ."														
 Interior is nice but not as comfortable as past Accords and feels a little cheap .														
 Interior is very comfortable w  ergonomic design in mind .														
" Interior is very roomy, and I can sit comfortably in the rear seat at 6'2  ."														
" It drives well, the satellite radio is awesome and it has the comfort of home ."														
 It gives a sporty driving feel and offers a very comfortable Highway ride .														
" It has a comfortable ride and most controls are logical, but the location of the volume knobs takes some getting used to ."														
 It has great handling and does so with comfort .														
" It is comfortable, easy to drive, and fast !"														
" It is very comfortable, easy to drive and park ."														
 It's much more comfortable than the Vette and I absolutely love driving it .														
" Its ride, comfort and overall performance is an absolute joy ."														
 Its the most comfortable Accord I have had .														
" It's very comfortable, has pretty much every luxury feature you might want, and is still fun to drive ."														
" It's very comfortable, remarkably large inside and just an overall great vehicle ."														
 Leather seats are very comfortable .														
 Most uncomfortable seats in any vehicle I have ever owned .														
 My family of 5 can comfortably ride in this car .														
" my first fill up was 26 mpg mixed city and hwy I only expect it to get better, steering is tight and precise, only complaints are road noise is more than i like but its livable, rain or just dew pours in right on top of the power window controls when the window is cracked, but window guards have fixed that, its a fun car to drive, and for what it is, its comfortable, controls are great, easy to reach, I'm looking forward to a lot of great miles with this car ."														
" My main reason for purchasing this car was to get a fuel, efficient vehicle that also was comfortable to drive on long trips ."														
" My my, I have never experienced such smooth performance, stability, pick, up, mileage and comfort that I am enjoying with my new 2008 Honda Accord ."														
 My only complaint is the seat is not comfortable for a long period of driving and if it is raining and you barely roll the window down uou will get soaked .														
 My wife does say the vehicle is not as comfortable for long trips as other cars we've owned .														
 No big deal The car is huge and very comfortable .														
" No, the Honda does not have the anti, sway of those vehicles in high, cornering speeds, but it is more comfortable ."														
" On the inside, it was for the most part comfortable and luxurious ."														
" Otherwise the car is comfortable, stylish, spacious and it handles well ."														
 Overall performance is good but comfort level is poor .														
" Ride is superior, comfortable seats, radio excellent ."														
" Ride, comfort, visibility, braking, steering and acceleration are excellent for a car of its size and price ."														
 Rides with comfort and motor will pick up if you need it .														
" Seats are firm but not uncomfortable ,  very BMW like ."														
 Seats are not very comfortable and not happy with the heated seats .														
 Seats are stiff but once adjusted seem to become more comfortable .														
" So far not super impressed with gas mileage, and comfort, well lets just say my dealership just ordered a new seat cushion for me today ."														
" So far, the reliability has been as expected, it is comfortable on my back, and the gas mileage has been pretty good ."														
" Solid build, comfortable interior, smooth ride, fuel efficient averaging 27 ."														
" Steering nice and tight, seats a little stiff but comfortable ."														
 Test drove Honda and enjoyed the firm yet very comfortable ride .														
