" , a luxurious comfort feature, and a fuel consumption that is best in the class ."								 Great gas mileage and comfortable on long trips .	" Very comfortable, quiet interior ."
" A little stiffer ride than the xl and xle models I have had, but still comfortable and quiet ."								" Good gas mileage, comfortable seating, lots of leg room ."	 It is very quiet and comfortable .
 Bottom line was that I was going to be in that driver's seat for years to come and I was not going to skimp on the critical comfort factor .									 The ride is quiet and comfortable .
" Comfort is great, mileage is good overall, better on the road than expected  , compared to my 1999 Camry ."									
 Comfortable and quiet with excellent gas mileage .									
" Feels expensive, yet comfortable with larger interior than my Grand Prix ."									
" For the comfort and entertainment of the ride, I like the Camry ."									
" For the price I couldn't have asked for a better performing, comfortable and stylish whip ."									
 Front seats are not comfortable on long trip .									
" Getting about 26 mpg mixed city hwy with conservative driving, seating 4 people comfortably ."									
" great ride, quiet comfortable spacious cabin, superior electronics  , fair price and good looks ."									
 Headroom body room comfort great for my 6'1  250 lbs .									
" However, when we drove the Camry we were impressed with its looks and the comfort of the ride ."									
 I am not real fond of the electric seat and I find it is not as comfortable as my F150 pickup on trips .									
 I do not find the front seats as comfortable as the seats in my old 96 Ford taurus .									
 I drive 2 hours to work each day and it is just not comfortable to me .									
" I feel that the Camry just gets better and better in terms of comfort, styling and performance with each generation ."									
 I feel uncomfortable driving this car and will get rid of it .									
" I have had no transmission issues or rattling, the comfort and ride of this vehicle felt to me much more high end then what I had paid ."									
" I have to say the car rode great,comfortable and gas mileage great ."									
" I love the look, and the comfort, but would never buy one again ."									
" I only have a vibration shimmy problem at 70 mph, visited dealer three times and ended up with changing a new tire and now the ride is even quieter and comfortable ."									
 I was surprised by how quiet the cabin was and just how comfortable it was to sit in and drive .									
" I'd highly recommend anyone buy this car if they are seeking an affordable, comfortable, reliable vehicle ."									
" If you keep in mind that the Camry is a comfort car, you may even enjoy the experience ."									
 I'm 6'3  and I find this car very comfortable to drive or ride in .									
" It is a beautiful sapphire blue, has really nice lines, is very comfortable, is plenty peppy, and hugs the road ."									
 It is a very comfortable car that gives us options that we never had on previous vehicles .									
 It is relatively comfortable inside .									
 It is so comfortable and drives perfect .									
 It is very reliable and comfortable .									
" It looks awesome, turns like it's on rails, has a great sound system, and is just comfortable and fun to drive ."									
" It's a pretty good car, reliable, comfortable as far as it goes, but limited rear visibility because of high rear bumper, and a problem with its computer  learning  my  driving style ."									
 It's very comfortable and a quiet ride with low levels of road and wind noise .									
 I've had 3 BMWs and only one of them could offer a more comfortable ride than the Camry .									
" I've read other reviews stating that the leather seats were not comfortable for long drives due to lack of cushion support, but that's not been the case for me especially after recently driving from Houston to Key West, Fla ."									
 Leather interior very comfortable .									
" Leather seats are comfortable, Nav system is easy to use ."									
 Leather seats were comfortable .									
" Looks are great and interior is comfortable, but it ?"									
 Lots of comfort for the price .									
" My conclusion after doing a ton of research regarding safety, reliability, comfort and gas mileage :"									
" My friends say my car is just like a Lexus and I have to agree, very comfortable and beautiful ."									
" My passengers are expecially happy with it and love the room, comfort, and adjustability ."									
 Nice looking interior but seats are very hard and are not comfortable for long trips .									
" No hestitation, comfort is great in front in back ."									
" On longer trips, however, they have a tendency to fall asleep, , which I think emphasizes how comfortable, smooth, and quiet it is ."									
" Other than that, technology is mind blowing on this sedan and performance is incredible, with a smooth and comfortable ride ."									
" Over the month it was in the shop, we rented several different cars and nothing seemed to measure up to the comfort and options of the Camry ."									
" Overall this car is very quiet, comfortable, smooth, powerful, and absolutly the best mid, size in the current market ."									
 Ride seems comfortable and gas mileage fairly good averaging 26 city and 30 open road .									
" Seats are comfortable, but wish the seat bottoms tilted back more into a bucket position ."									
" Seats are fine, in fact of all the smaller sedans this is the most comfortable I found for the price as I am 6', 2  and 250# ."									
 Seats are padded more firmly than previous model but comfortable on trips .									
 Second the internal comfort id awful .									
" Smooth, comfortable, reliable, fast ."									
" Solid, high quality, comfortable and quiet ."									
" Styling is bland, the engine isn't strong at all, and the car doesn't deliver good comfort while driving it ."									
" Superb handling, performance and comfort ."									
" The car comfort, looks, performance and fuel economy are great but the paint is a disaster ."									
 The car is VERY comfortable and the air conditioning is perfect for the heat here in Arizona .									
 The driver seat is still soft and mostly uncomfortable .									
 The driver's seat is really comfortable .									
 The headrest presses into my head at an uncomfortable angle and it is imposssible to tell where the front of the car is for parking .									
 the Hyundai Sonata is thousands of dollars cheaper and matches the Camry in all respects except comfort .									
" The interior is extremely comfortable, and spacious ."									
 The interior is much more comfortable than my last 3 Camrys and the exterior styling is oh so chic .									
" The interior is upgraded markedly, and although there is a bit less headroom, the added telescoping feature of the steering wheel combined with the greater travel of the seat   yields greater comfort ."									
" The navigation works flawlessly, comfortable seats ."									
" The new looks are what attracted it to me initially, but its relatively smooth drive, comfort and reliability sold me on it ."									
 The previous soft seats were replaced with hard cheap ones which are very very uncomfortable and give me back pain .									
" The ride is comfortable and it seems to ride a little higher than the average sedan, which I like ."									
 The ride is loud and not comfortable .									
" The ride is very comfortable, although I'm 6'6  and I didn't think head room was an issue but I do think leg room could be better, I think this is mainly because the back seats have tons of leg room ."									
" The ride, comfort, and drive is as expected, however, the quality and reputation of yore are completely gone for the flagship Camry ."									
" The seat comfort is not as it was and I found that the gas, brake pedals are offset too much to the left of my body centerline ."									
 The seating is relatively comfortable .									
 The seats are way to low to the ground making long drives uncomfortable .									
 The seats aren't comfortable either .									
 The seats were very comfortable .									
" The seats were very comfortable on a four and a half hour   trip, and wind and road noise were minimal ."									
" The sound system is incredible, the seats are comfortable, the controls are ergonomic and straight forward and the take off power is quite impressive ."									
 The window sill is too high and the armrest too low to be comfortable .									
" This car is easy to drive, great gas mileage and comfortable ."									
 This new Camry is indeed very comfortable with quiet and soft ride .									
 Top notch rating on interior comfort .									
" Toyota made many improvements since 03, including more comfortable front seats, better rear seat room and comfort   ."									
 Trunk is big and rear seat very comfortable for 2 and will seat 3 .									
" Turns out, it was one of the smoothest, most comfortable rides ever ."									
" Uncomfortable head restraint, too close to my head ."									
 Very comfortable ride and seating .									
 Very comfortable seating position for both me and my husband .									
" Very comfortable, great styling ."									
" Very comfortable, quite and smooth ride ."									
" Very low interior noise level, which adds to the long trip comfort ."									
" Very quiet and comfortable ride, more than enough power ."									
" While the '03 was roomy and comfortable, the steering and handling were very vague ."									
" While the 4 cylinder does not have the punch of the Honda Accord 4 cylinder, the comfort and quietness of the ride won out ."									
" Yes, it is very comfortable, esp for the price paid ."									
 You can not get that comfort with any other automaker other than perhaps Honda .									
" You can't have it both ways, either a car is full of power and stiff suspension or it's smooth and comfortable on the road ."									
Extremely comfortable with 3 separate power driver seat adjustments .									
"Having flown 26 different aircraft and driven cars for 61 years, I find the 2007 Camry to be the most uncomfortable cockpit I have every been in ."									
I bought this car smitten by its exterior look and interior comfort .									
I needed a comfortable commuter that I could also run around with the family in .									
"I purchased a Camry LE approximately 2 months ago, it's a smooth comfortable ride ."									
I selected the Camry for its comfort and reliability .									
"I test drove and compared similar 4 door sedans like the Maxima, Accord, Mazda6, and noticed that none had all the features,performance,comfort ,safety,and looks that the Camry has ."									
"I was not sure at first about trading my 01 Honda Accord but have been more than satisfied with the performance, looks, and comfort ."									
I would recommend this car to anyone looking for a comfortable ride as well as good fuel economy .									
"The interior is very luxurious and comfortable, however the car feels slower than my 2002 Camry LE ."									
"This car offers poor driver's seat comfort, poor vision  , only average ride quality, gas mileage "									
Very uncomfortable when driving long distances .									
"We have had this Camry about two years now, and it is not a boring car but it is smooth, comfortable and has good road manner, and overall it is a good car ."									
