" Although we didn't use it, there was free Internet access in the room ."							 free wifi and happy hour wine every afternoon !	" The nightly free wine tasting from 5 ,  6 pm is a brilliant idea and gets guests together to socialise witheach other ."	 The free drinks held every evening are welcoming after a long day out .	 The late afternoon free wine reception was a really nice touch and we enjoyed this very much .	Free Wireless internet access .	 The hotel has free wireless .	 Free wine and mingle from 5 to 6pm .	 Internet access was not free .	" Guests actually talk to one another during morning coffee, and the free hour of wine at 5 pm ."	 Free coffee in the lobby in the mornings is nice .		The hotel has one computer   available with free internet .	 We particularly enjoyed the nightly 'manager's reception' when wine and nibbles are freely available !
 And free NEw York Times to go with it .							 Free internet access and Happy Hour every afternoon .	" We were also told of the free wine reception at 5pm, great idea as it meant you could chat to your fellow guests ."	 The free wine tasting every night was a wonderful extra and welcomed relaxment in between a long day of sightseeing and evenings out .	 Excellent free wine reception in evening .		 The hotel offers free wifi   to all guests who have a laptop .	 Earily evening free wine tasting   .	 No free internet here though .	 The free morning coffee and evening wine reception were both good opportunities to meet other guests .	 We did however make use of the free tea and coffee when we had an early start .	" Oh,yes, free coffee and biscotti for breakfast, and wine in the afternoon !"		" We went down for the free wine reception, and had a great time ."
 And remember the MUNI passes were free !							" Free Wifi in your room, and the free wine reception in the evenings was great ."	"Evening wine hour from 5, 6 was also good , free wine and nibbles and a chance to talk to other guests about places to visit , eat etc ."		The free wine and nibbles served between 5pm and 6pm were a lovely touch .		 I personally appreciated the free internet service in the hotel .			 The free morning coffee is also well appreciated and attended .	 We did however take advantage of the free coffee and biscotti that was offered every morning in the lobby .	" There's free coffee, teas at breakfast time with little biscotti and, best of all, from 5 til 6pm you get a free wine 'tasting' reception   which, as long as you don't take the p"		" Best feature was the freebie drinks in reception from 5, 6pm ."
 and the free coffee tea and beer wine daily was very nice and allowed for a cozy feeling among the quests .							 The afternoon wine and cheese was a nice bonus as was the free Internet .	" The free happy hour really made the visit extra special ,  we met so many wonderful people during our 7 day stay this way ."				" Free wireless internet in the room ,  fantastic !"					" Free coffee in the morning, free beer and wine in the afternoon, what more could you ask for ?"		
" Another great thing about the hotel is that every day, they offer wine and beer from 5, 6pm for free for all hotel guests ."								" The free beer, wine etc and snacks on an afternoon was a lovely touch and helped you swap tips and chat to other guests ."				 And free wifi throughout the hotel which worked flawlessly .					 Morning coffee and biscotti was a nice touch as well as the all you can drink free wine hour in the evening .		
" As said before, the free wine reception in the evening is Two Buck Chuck, drinkable, but certainly not anything to write home about ."								" The lobby   has a wine tasting for free between 5, 6pm each night and you meet dozens of really nice people from all over the world ."											
								 The nightly free wine reception is a great way to meet people and find out what is worth seeing and what is not .											
" Coffee and biscotti were available in reception every morning free of charge or if you preferred, there was a restaurant in the hotel that served breakfast or a Starbucks round the corner ."								 They have a happy hour where you have a couple offree drinks between 5 and 6 and this gives you a chance to meet other travellers .											
" Coffee and hot chocolate were also available free from 6am each morning, although there was also a coffee maker in the room ."																			
 Free coffee and biscotti in the morning helped get the GF out of bed .																			
 Dont let the &quot free&quot  wine and biscotti fool you .																			
 During that time there is a very nice and knowledgable gentlemen who offers free chair massages .																			
" Every evening 5pm to 6pm, guests are invited to have free wine in the reception area and there is free coffee there every morning ."																			
" Free coffee and biscotti in the morning is a nice touch but we never made it back in time for free beer and wine from 5, 6pm ."																			
" Free high speed wireless Internet access, which in San Francisco most always has a charge ."																			
 Free internet and a computer for use in the lobby was helpful .																			
 Free internet in the lobby but none of any sort in the rooms .																			
 Great free &quot coffee and&quot  in the morning and a very pleasant afternoon complimentary wine .																			
 has free wireless and help you with transportation needs .																			
 I booked a standard king room and was up graded to a premier king free of charge upon our arrival .																			
" I didn't get to take advantage of the free coffee in the morning, but my husband and I did go to the 5pm, 6pm cocktail hour, which we enjoyed ."																			
 If you have any other questions please feel free to msg me and I will do my best to answer your questions .																			
" In the lobby they have free coffee, tea and biscotti everyday and have wine and snacks from 5 p to 6 p daily ."																			
" In the morning free great coffee and biscotti in the lobby,  with carry, out cups ."																			
" It really does save if you can get a deal with free parking, but the fee is not out of line ."																			
 It was freezing cold in the room and I don't think it warmed up even with the heat on until the next day .																			
" It's location is fantastic if you want to get to the Ballpark, to the cable car, on and off the freeway, to the wharf, etc ."																			
																			
" Nothing disappointed us about our stay and we didn’t even take advantage of the free wine tasting between 5, 6pm ."																			
" Overall, we would recommend this place to friends, especially if they are able to get a good discount and free parking ."																			
" Parking was $26 day ,  free valet with on and off priv ."																			
" Refrigerator, minibar, free wifi, iron   board, hairdryer, down comforters   and pillow top beds ."																			
" Speaking of parking, you're going to have to pay and it's going to have to be valet service, as there are no free self park lots that are part of the hotel ."																			
 Stayed for two nights and really enjoyed the free wine in the evenings and biscotti and coffee and or wide range of teas in the morning .																			
 That and also the free coffee and tea   every morning were little extras that we felt made you feel like a welcomed guest and that they are going out of their way to make the hotel special .																			
" The afternoon wine beer was a great idea, as was the free morning tea cofee ."																			
