"  The selling point, for me, was the keyboard ."												 The keyboard is large enough to accommodate touch typing with ease .	 1 The keyboard takes a bit of getting used to .	 Actually the keyboard is much better in my opinion .	 Excellent keyboard for typing .	 I have large hands and with a little time on the keyboard I'm breezing through word processing jobs .	 The keyboard is easy to use .	 The keyboard is extremely comfortable to use .
 1 keyboard still floats  2the screen goes to a solid blue screen either right after starting or after it sits a while .												" Speaking of which, the keyboard's relatively large size ,  at 92% of the size of a normal one ,  writing longer texts on it is no problem ."	" Keyboard feels funny at first, but you get used to it ."	 The keyboard is just the right size .	" For regular typing, the keyboard has worked well ."	 I am 5'10 with large hands and have no problem using the keyboard .		 I was also extremely impressed at how comfortable the keyboard is .
" 4 And finally the keyboard doesn't stay fastened down at the top it would seem like an easy fix, I've noted it for repair twice and I still have the same problem ."												" Speaking of typing, the keyboard is great, almost full size ."	" The keyboard is functional, but takes a little bit of getting use to ."			 The keyboard is quite nice and I have very large hands and I make a lot fewer mistakes .		
" And it goes in that bag wrapped in the white paper plastic bag it was originally boxed up in, with another piece of packing plastic between the keyboard and the screen ."												 The keyboard is nearly full size and very comfortable to type on for hours .				 The keyboard is surprisingly good for someone like me with big hands .		
 At home I now have my Asus connected to my desktop's keyboard and monitor .												 It's 90% size keyboard doesn't take too long to get used to .						
 Battery life continues to hold up and the keyboard is a true godsend with its full size keys .												" The keyboard is only slightly smaller than a regular one, so it's very comfortable ."						
 Controls for these functions are right on the keyboard .												" The keyboard, more than 90% standard size, is just large enough ."						
" Definitely the best looking netbook, and possibly the best keyboard ."																		
" Due to the size of netbooks and a wide screen format, the screen should have been designed to be able to rotate all the way back to inline with the keyboard ."																		
" First and foremost, most companies  , get the design of the keyboard completely wrong ."																		
" Great battery life, decent sized screen, and the keyboard was large enough to be comfortable to type on ."																		
" Has a very long battery life, runs videos and multimedia smoothly without issues, fast loading, very usable keyboard, stylish sleek design, decent pricing for what you get"																		
" However, since I do a lot of word processing, the keyboard and the touchpad buttons were a real concern ."																		
" However, two weeks in, the keyboard would sporadically stop working ."																		
" I also have the Eeepc 900, but I can't stand typing on that keyboard ,  I've typed on this one for 10 hour work training sessions without issue ."																		
" I also needed Web connectivity for research, a screen with a low squint factor and a keyboard that wasn't too cramped ."																		
" I found if I pushed down and slid upward in the upper left corner, the keyboard moved up slightly and clicked into place ."																		
 I goosed up the memory to 2G and stuffed a 8G SD memory board in the slot on the right side of the keyboard .																		
" I have briefly tried typing on a number of netbooks since last fall, and this is the only one that had a decent keyboard just big enough to accommodate my hands and not result in multiple typing errors ."																		
 I have had a freeze up twice where the mouse and keyboard stop responding .																		
 I have more productivity  flow  on a conventional laptop with a full sized screen and keyboard .																		
" I like the keyboard, I like the speakers ."																		
" I love the feel of typing on it, and have not had any issues transferring from a regular, sized keyboard to a smaller one ."																		
" I mostly find that when I make typos, it's not because of the keyboard, it's because of the smallness of the screen, , I just can't see what I'm doing as well as a laptop ."																		
" I notice the tighter keyboard spacing, but it seems easy to type on, yielding no more typing errors than my bad typing normally yields ."																		
" I picked it up right away due to the battery life, keyboard and sleek design ."																		
" I think the most important thing on these small netbooks is the keyboard, and this one feels very good ."																		
 I wanted to purchase a netbook with a keyboard as close to a lap or desktop as possible .																		
" I was afraid I wouldn't like the small keyboard, but it's really easy to type on ."																		
" It boots up quickly, especially after getting rid of the extra asus software that auto, boots at startup, its battery life is phenomenal, the screen is clear and easy to read, the keyboard is comfortable to type on and feels natural ."																		
