"   Clean rooms, bustling lobby, GREAT location ."	Great Price Terrific Location .	The location is absolutely wonderful .	Excellent hotel in prime location .	This hotel is in a good location .	Great location but definitely NOT a 4 star hotel .	Good hotel for the price nice location .		Location is the only thing it has going for it .	 It's a great location VERY near the Gloucester Rd tube stop   .	" Perfect location, right around the corner from the tube ."	Excellent location shame about the service !	Excellent location and service .
"  Like others, I liked the location with restaurants, Glouster tube station, small grocery stores, , , and internet cafes within easy walking distance ."	"Very Good Value ,  Excellent Location ."	 You cannot beat the location !	great hotel in a lovely location .	 The location of the hotel is really good .	Great location but is it really 4 star ?	" For the price and location, this was a very great hotel ."		" Location itself is great, but everything else is terrible ."	" Loved the location as it's only a 1, minute walk from the Gloucester Road tube station ."	"Location was great come out of tube station, take first turn right and walk 150 yards   you're there !"	Great location indifferent service .	Great service and perfect location !
"  The hotel caters to airline personnel, cruise tourists, and is a good choice for someone that wants to have a safe location ."	 It was a pretty good value and in a good location .	"it's just a great location, period ."	"Excellent Hotel ,  Great Location ."	the hotel is in a good location .	"Convenient location not 4, star room and services but OK ."	A nice hotel  a resonable rate and a great location .		", ,  The one thing this hotel has it going for it is the location ."	" The hotel has an unbeatable location in a very nice part of South Kensington ,  only 1 block from the Gloucester Road station   ."	" Location was great ,  close to tube stop ."	Great location service questionable .	
" A true bargain in the London hotel market, and a very convenient location adjacent to the Gloucester road underground station ."	" But for the price, and the favourable location, we were content ."	 The location couldn't be better in my opinion .	pleasant hotel very good location .	 the hotel is in a GREAT location .		Great Location and Hotel for the Money .		"The single thing to recommend this hotel is the location, which is excellent ."	 Very convenient location for Gloucester Road tube .	Location is good if you plan on taking the tube .		
" All in all great location ,  nice restaurants nearby, nicely pitched service ."	"Great location ,  good value place to stay ."	 this is definitely the location you want .	Perfect Location and Excellent Hotel .	 The location of the hotel is excellent .		Great Hotel Great Location Great Value !			" The location can't be beat , ,  a two, minute walk from the Gloucester Road tube stop ."	" THe location was great, just aroung the corner from the tube ."		
" All in all, if you do not mind giving up the Euopean atmosphere, the Holiday Inn gives you a comfortable stay with the most convenient location ."	Excellent location good value .	 Location is hard to beat though .	The hotel is very nice and the location is excellent .	The location of the hotel was great .		 good hotel for the price and location .				 The location is great and the Tube station is very close .		
" All, in, all this hotel was a great choice for the price and location ."	Great value and awesome location .	Again the location just can't be beat !	The hotel was good and in a great location .	One of the nicest features about this hotel is the location .		Good Value Nice Hotel Fantastic Location .				"The location is EXCELLENT, just round the corner from the subway ."		
" Also, the close location of the gloucester road tube stop is great for getting around all of london ."	We thought this was a great value for such a great location .		A fine hotel and great location .	"The location of the hotel was brilliant ,  really nice area ."						" Speaking of the tube, the location really is great 1 block away !"		
" Also, the tour bus most likely will not drop you off at your hotel after the tour, but rather at Victoria Station or some location nearest your hotel as the bus driver can get ."	Good value and excellent location .		Nice hotel with great location .									
" Although in some ways I would have preferred a smaller, more authentic English hotel, we really couldn't beat the combination of price and location   ."	Best location and unbeatable price !		Great location loved the hotel .									
" Although the location is a bit removed from the West End, it is only a block away from the Gloucester Road underground, with three train lines that will take you almost anywhere in the city in 15 minutes or less ."	Price and location can't be beat .		Excellent Hotel Excellent Location !									
