 8 10Location 11 10Amenities :							Great Price Terrific Location .	The location is absolutely wonderful .	Excellent hotel in prime location .	This hotel is in a good location .	Great location but definitely NOT a 4 star hotel .	Good hotel for the price nice location .	 Location could not be better .	Location is the only thing it has going for it .	 It's a great location VERY near the Gloucester Rd tube stop   .	" Perfect location, right around the corner from the tube ."	Excellent location shame about the service !	Excellent location and service .	Excellent service great location good value	Best location in Fisherman's Wharf .	Great location for San Francisco sightseeing	" It is in a great location, 5 minute walk to Fisherman 's Wharf promenade and 5 minute walk to a tram stop ."	 The best part of the hotel was its location .
" A masseur was giving guests a massage at the same location, not sure if there was a charge involved for that service, as there was no information about that anywhere ."							"Very Good Value ,  Excellent Location ."	 You cannot beat the location !	great hotel in a lovely location .	 The location of the hotel is really good .	Great location but is it really 4 star ?	" For the price and location, this was a very great hotel ."	 Really good location for me .	" Location itself is great, but everything else is terrible ."	" Loved the location as it's only a 1, minute walk from the Gloucester Road tube station ."	"Location was great come out of tube station, take first turn right and walk 150 yards   you're there !"	Great location indifferent service .	Great service and perfect location !	Great location service and value !	 This hotel is in a good location on Fisherman's Wharf .	Great Location For Exploring San Francisco	" Location is fantastic , ,  2, 1 2 blocks from Fisherman's Wharf, 4 blocks to Pier 39, 1, 1 2 blocks to the trolley ."	"Location ,  This is the best part of the hotel ."
" A superb location, reasonable price, easy access to all the main sights and transit lines to get around the city ."							 It was a pretty good value and in a good location .	"it's just a great location, period ."	"Excellent Hotel ,  Great Location ."	the hotel is in a good location .	"Convenient location not 4, star room and services but OK ."	A nice hotel  a resonable rate and a great location .	The location was really the best part .	", ,  The one thing this hotel has it going for it is the location ."	" The hotel has an unbeatable location in a very nice part of South Kensington ,  only 1 block from the Gloucester Road station   ."	" Location was great ,  close to tube stop ."	Great location service questionable .			 Perfect location to Fishermans Wharf .		 The location is excellent for access to the cable cars and the wharf .	" The best feature of this hotel is location, location, location ."
 A wonderful property in a super convenient location .							" But for the price, and the favourable location, we were content ."	 The location couldn't be better in my opinion .	pleasant hotel very good location .	 the hotel is in a GREAT location .		Great Location and Hotel for the Money .	not to mention perfect location !	"The single thing to recommend this hotel is the location, which is excellent ."	 Very convenient location for Gloucester Road tube .	Location is good if you plan on taking the tube .				Perfect Fisherman's Wharf Location		" The location is mere walking distance to the wharf, cable car, and so much more ."	One of the nicest features about this hotel is the location .
" All in all, the location was perfect ,  a short walk to the cable cars or bus lines, a Safeway grocery and Walgreens drugs is across the street in a parking garage, type mall, and there are small places to eat breakfast nearby plus an IHOP a few blocks over ."							"Great location ,  good value place to stay ."	 this is definitely the location you want .	Perfect Location and Excellent Hotel .	 The location of the hotel is excellent .		Great Hotel Great Location Great Value !	" So, the location was awesome ."		" The location can't be beat , ,  a two, minute walk from the Gloucester Road tube stop ."	" THe location was great, just aroung the corner from the tube ."				 Perfect location near Fisherman's Wharf .		" The location is perfect ,  two blocks from Fisherman's Wharf and only a block to the street car and trolley ."	
 all the staff we encountered were super friendly and the hotel location is great .							Excellent location good value .	 Location is hard to beat though .	The hotel is very nice and the location is excellent .	The location of the hotel was great .		 good hotel for the price and location .	" Again, the location was great !"			 The location is great and the Tube station is very close .				" The location is great, only 2 blocks from Fisherman's Wharf ."		Excellent location 2 blocks from Fishermans Wharf and 1 block from cable car .	
" Also, the location is dull  nothing of real interest withing a couple of blocks all around ."							Great value and awesome location .	Again the location just can't be beat !	The hotel was good and in a great location .	"The location of the hotel was brilliant ,  really nice area ."		Good Value Nice Hotel Fantastic Location .	 You cannot beat the location !			"The location is EXCELLENT, just round the corner from the subway ."				" The location is great, only a few blocks from the Wharf ."			
" Although our weekend was during a storm, the close proximity to the piers and public transportation still made our location idea ."							We thought this was a great value for such a great location .		A fine hotel and great location .	The hotel location was perfect .			 The location could not be any better .			" Speaking of the tube, the location really is great 1 block away !"				Great location to Fishermans Wharf .			
 And the location is perfect for tourists .							Good value and excellent location .		Nice hotel with great location .	Hotel is in perfect location .			" In addition, it is location, location, location ."							 Location in proximity to the Fisherman's Wharf was only 2 easy blocks away .			
" Ask to see a few rooms before you check in, because the room size and location can vary between floors and sides ."							Best location and unbeatable price !		Great location loved the hotel .	 This hotel location could not be any better .			"That said, the location is marvelous ."							The location is excellent if you want to be near the wharf .			
" Can't beat location, Mason and North Point ."							Price and location can't be beat .		Excellent Hotel Excellent Location !	This hotel is in a perfect location .										 The location is within walking distance of fisherman’s wharf .			
