 190 hp and superior gas mileage .						 Telling me how good the gas mileage is not true .	"Car rides great, good fuel mileage ."		" It looks great, handles well, and gets good gas mileage ."
" 6, 4, 3 eco engine has poor performance and gas mileage of 22 highway ."						 Gas mileage not quite as good as advertised .	" Handles great, good mileage, and wonderful ride ."		 It is a well built car that runs smooth and gets great gas mileage .
 Almost half the mileage as compared to advertisement .						 Thought gas mileage would be better .	" It's fun to drive, and gets great gas mileage ."		" It is great to drive, has many nice features and gets you there with great mileage ."
 And great gas mileage averaging 28 .						 Fuel mileage has been less than expected .			" Great power, great ride, and pretty good fuel mileage   ."
 Around town gas mileage is not as good at 22 with a mix of city and high way .						 Nowhere near the mileage the sticker shows .			
" Aside from missing the turbo's acceleration, I've preferred the Accord's better mileage, handling and comfort ."						 Very disappointed in mileage .			
" At first the gas mileage was a disappointment, but as the car is now breaking in   it's getting better ."						 I am so very disappointed with the gas mileage !			
 At first the Gas mileage was very poor but has really improved .						 My only really complaint is the gas mileage is not as good as advertised .			
" Everything else such gas mileage, handling, stereo system is fine but it doesn't make up for the loud rattles and wind noise ."						 The EPA mileage ratings and what the dealer bragged about mileage wise are a joke .			
 First tank mileage was 27 mpg not bad at all .									
 Fuel mileage is disappointing 15 18 city 22 26 hwy .									
" Fun to drive, fairly roomy, looks good, gas mileage is OK  , but not as good as Honda advertises ."									
" Gas mileage after 1000 miles is averaging apprx 23,  24 mpg in a blend of city highway ."									
" Gas mileage at first wasn't great but having reached 2500 miles, it seemed to go up dramatically in city driving ."									
" Gas mileage has been a bit disappointing, but it has been improving ."									
 Gas mileage has been improving and is now consistently 29 hwy 22 city .									
 Gas mileage is above average .									
" Gas mileage is around 22, 23 in town and 29, 30 on the highway ."									
 Gas mileage is at it's highest 24 mpg usually 22 mpg hwy .									
" Gas mileage is disappointed, avg 20 mpg so far ."									
 Gas mileage is fantastic especially going from a V8 SUV to a 4 cylinder sedan   .									
 Gas mileage is great for a vehicle with this type of performance .									
 Gas mileage is horrible on highway at 21 mpg .									
" Gas mileage is horrible too, 20 mpg city highway after 6000 miles ."									
" Gas mileage is not as advertised ,  25 mpg at most ."									
" Gas mileage is OK, averaging about 23, 24 city ,  31 highway normal driving, I don't drive fast, but I don't drive slow either ."									
 Gas mileage is only 20 around town and 26 to 27 on the highway with a four !									
 Gas mileage is still getting better though .									
" Gas mileage is wonderful, 1st tank 26 mpg with almost all city driving ."									
" gas mileage sucks, i was getting 20 mpg on 05 accord v6 and seem to pull only 18 mpg on this one ."									
" Gas mileage will surely improve, hopefully ."									
" Gets great gas mileage, I mostly drive city and I am currently receiving 25 ."									
" Good looking inside and out, comfortable and roomy, commendable performance, and excellent gas mileage ."									
" Great gas mileage for a v, 6 ."									
" great mileage, poor build quality of the car ."									
" hard seats, hard ride, more road noise than expected, disappointing gas mileage ."									
 Having had to give up my 99 Accord due to very high mileage 170K									
 highway mileage slightly over 30 as advertised .									
 I am not known to drive slowly so I am pleased with the mileage .									
 I am sure as gas prices go up cars will be built to get better mileage at the expense of acceleration .									
" I chose it for the low emissions, value for the money, reliability and gas mileage ."									
 I decided to go back to Honda as even with high mileage they keep their value .									
" I do miss the carry and load capacity of the Pilot, but the Accord gets decent gas mileage by comparison   ."									
 I do not know what these people are talking about saying it gets bad gas mileage !									
 I drive around 60 miles a day so fuel mileage was important .									
" I expected a little better gas mileage avg, approx 26 mpg ."									
 I had rather not have it and sacrifice the mileage .									
" I had tons of room in my 4Runner, but I needed something that would get better gas mileage w o giving up power ."									
" I have a V, 6 with Variable Cylinder Management which is supposed to let the car run on 3,4 or 6 cylinders, as needed, to improve mileage ."									
 I hope to get better mileage on extended highway trips .									
 I just love the VCM makes the car give great mileage .									
" I just love this car ,  and with almost double the highway gas mileage that I was getting with my Grand Cherokee ,  that adds a lot of $$ towards my monthly payment ."									
 I live in Chicago and drive downtown and back 2 times a week for school and am getting great mileage .									
" I love the appearance of the car from the outside, and it has a much bigger feel to it, ride is a little stiff but smooth, engine is very responsive, however gas mileage is diappointing getting 5 mpg less then 06 Accord ."									
 I test the car and was very impressed with the looks and the 4cyl was adequate since gas mileage was very important to me .									
" I think the mileage would be even better with a 6, speed stick shift to drop the tachometer from ~2300 rpm to <2000 rpm at 60 mph ."									
 I traded an 05 Acura TL for the gas mileage savings .									
" I traded for better mileage, and this is what I got ."									
" I wanted an inexpensive car with good mileage, and strong resale ."									
 I was a bit disappointed with the 4 Cyl mileage as I drive over a 100 miles a day round trip to work .									
" I was tempted to go for the V6, but I drive 42 miles one way to work and we have an '07 Odyssey with the variable cylinder management system and unless you're on long highway runs it doesn't get the gas mileage Honda claims ."									
" I will warn you though, that if you drive it like it should be driven, gas mileage isn't the best ."									
 If you are looking for a car that is affordable and well built this is the car for you bad gas mileage									
" In reality we have been very disappointed our in city mileage is 16, 17 and highway is better at 27 ."									
 Initial gas mileage looks good too .									
" It feels safe, performs well, looks fantastic and gets decent gas mileage for its size ."									
 It gets good mileage on HWY = 30 but mediocre on local = 21 .									
 It gets great gas mileage and love the car .									
 It has everything but good gas mileage .									
 It has excellent gas mileage drove from PHX to San on a half a gas of tank .									
" It is fun to drive, I love the color, it has great features, the sound system is nice, the power is perfect and the gas mileage is great !"									
" It was the combination I was looking for, great look, good value, decent gas mileage, and Honda's resale value ."									
 It wasn't worth saving the little difference in gas mileage for this Honda .									
 It's almost embarrassing driving such a nice car around a parking lot and have it sound like a high mileage beater .									
" It's no 8 cylinder GT, but it also gets double the gas mileage and so far, no problems ."									
" It's quiet, get good gas mileage and looks clean inside and out ."									
 Little 4cyl 5 spd LX and it got awesome gas mileage .									
" Local mileage with the '08 has been about 24 mpg, and about 25 mpg with the '06's that we've leased ."									
