" A normal size hotel room compared to other hotel rooms we have stayed in, besides we didn't spend much time in the room when there is so much to do around San Francisco ."						The rooms we had were a good size and clean .	 The rooms were nice   clean .	 The rooms are clean and tidy .	" The rooms are a bit small, but not uncomfortably so ."	 Our rooms were very small but beautifully decorated .	 Rooms were a bit small but very clean and nicely maintained .	 The rooms were clean and nicely decorated .
" A warm welcome on arrival and a nice suite although the rooms were quite compact, however I understand this is common in Fishermans Wharf  ."						 The rooms are clean and reasonably sized .	"The rooms were pleasant, clean and did not disappoint ."	" The rooms were clean and well, cared for ."		 The rooms are small but attractive .	 Although the rooms are small it was very clean .	 The rooms are very clean and very well appointed .
" Alarm bells rang in my head when she said they had made rooms non, smoking but I agreed to go and look ."						 The rooms were spacious and clean .	"The rooms were nice, comfortable, and clean ."	 The rooms were celan and well kept .		 the rooms are small but very nice .	 rooms somewhat small but clean and comfortable .	
" Also, avoid rooms on the ground floor facing Mason Street – not only will the street noise be terrible but there is a permanent smell of stale urine along that sidewalk ."							" The rooms were very nice, clean and comfortable ."				 The rooms themselves are quite small but clean .	
" Also, we got connecting rooms, but check first because there are only so many available ."							" The rooms were clean, nicely decorated, and comfortable ."					
" Although the rooms are not huge, our room was still easily big enough for 2 adults and a child   ."							The rooms were very nice and clean .					
							" The rooms are comfortable, clean and nicely furnished ."					
" Although the rooms were clean and fresh, one of ours had several small problems ,  the phone didn't work, the bathroom door handle was quite loose, and the thermostat didn't work properly ."												
" Although we arrived after 3pm, rooms were not ready and we were asked to wait ."												
 Am sorry for those few noisey rooms that some folks got saddled with .												
 And value is key for the rooms and the service !												
" Another odd thing we noticed is a majority of the room doors opened OUT into the hallway, rather than into the rooms ."												
 Apparently the inner rooms have the wall units .												
" Apparently, all the rooms are similarly afflicted ."												
 As previous reports suggest the rooms are a bit smaller than some other hotels we have stayed at but we were only there to sleep .												
" Ask to see a few rooms before you check in, because the room size and location can vary between floors and sides ."												
" Asked next morning ,  still told we couldn't empty them ,  offered to pull up website on our laptop which still showed that fridges came with rooms but they didn't want to see it ,  they just wanted to say that there rooms never had fridges and didn't know why BW advertised that they did ."												
 Be sure to ask not to be put in the rooms right above the driveway entry .												
" Beware, if you request adjoining rooms, they are not guaranteed and really not even planned ."												
