"   The internet service which costs GBP15 per day is slower than dial, up  !"								 All staff were very helpful and friendly .	 The staff and service were exceptional .	 The customer service was wonderful .	Great service and friendly Front Desk .	 The Concierge service is excellent .	Excellent service and Awesome view .	Customer Service needs improvement .	front desk staff need customer service 101 .	 Exceptional rooms and service !	 The food was good and the service was very good .	 The staff at the hotel are very helpful and nice .	" The hotel staff was very nice, from the moment we drove up ."	 The staff was polite and helpful .	 The staff was very friendly .	 Hotel staff were excellent in providing us assistance when needed .	" Staff was very, very professional  however, where is the smile ?"	Great Location and top notch Staff .	Upon entering the elegant lobby we were greeted pleasantly by the staff .	 The front desk staff was efficent and friendly .	Staff was all friendly and courteous .
" $52 a night to park, read very carefully about the room service charges,swimming pool and internet charge in your room, and of course the mini bar ."								 Every member of the staff was courteous and helpful .	Wonderful service friendly people	 We were very impressed with the service we received .		The concierge service is second to none .	Exceptional View and Fabulous Service .	 The customer service stinks .	Front Desk Staff were shockingly bad .	 Exceptional rooms and service !	" Stunning food, amazing service ."	The hotel staff was courteous and helpful .			 Staff was friendly and accomodating .	"The hotel staff were great, always on hand to help ."	" The staff was nice, but no smiling faces or hellos as you passed by ."	" The hotel is in a great location, the staff is friendly and very service, oriented ."	" On arrival, were met by friendly reception staff ."	The front desk staff were very friendly and efficient .	 Staff were very friendly and courteous .
" A highlight of our visit was the historic boats at the Hyde Street Pier , ,  a national Park Service site that costs only $5 ."								 Staff was very accommodating and always smiling and ready to assist .	 The service truly was above and beyond .	 But the service just can’t be beat .		 The front desk staff were very helpful .	Fabulous views  Amazing service !	 Could have had a bit nicer service .	 Concierge staff were snooty and were not very helpful .		 The food is excellent and the service great .	" the hotel staff was excellent, polite, courteous, and Helpful in every way ."			 Welcoming and friendly staff !		 Staff were professional but not very friendly and distanced .				
" A masseur was giving guests a massage at the same location, not sure if there was a charge involved for that service, as there was no information about that anywhere ."								 The staff seemed very helpful and friendly .	 The service we experienced was top notch and everyone was extremely pleasant .	 The staff is always very helpful   .		 The front desk staff were more than helpful .	"Fantastic view excellent service ,  top notch !"	 The service was the worst service we have EVER recieved in my life the worst .	front desk staff need customer service 101 .		 Super dinner and attentive service .				 The staff was very friendly .		" The staff was nice, but no smiling faces or hellos as you passed by ."				
" A prompt reply indicated not and that the reception area deposit boxes were temporarily out of service, so they offered to upgrade our rooms to executive rooms at no extra cost ."								 The staff was extremely friendly and helpful .	 The service from every staff member we encountered was delightful .	 The staff were very helpful .				My one issue was with the staff .	The front desk staff was never very helpful when we had any requests for simple things .												
 A very cheerful staff and prompt service .								 The staff was friendly and courtious and was happy to help when we asked .		 The entire staff was helpful .				" If you dont mind the attitude of dealing with a rude staff, go for it ."	 And the front desk staff dealt with folks with a general disdain   .						I remember the staff were friendly to us during our visit .						
" A very nice, classic, comfortable, full, service hotel ."								 The staff was friendly and helpful .		 Staff and concierge were very helpful .					" The other big gripe was with the reception staff, who were rude ."												
 A very recent survey mentioned that most high end hotels are no longer offering the service or will not in the near future .								" The staff was friendly, courtious, and helpful ."		 The front desk was very helpful as was the rest of the staff .					 The staff really need to take a class in interpersonal communication .												
 All employee's that I mentioned have shown customer service skills that are above and beyond .								 The staff was helpful and very polite and friendly .							 The staff is quite unfriendly and unaccomodating .												
" All in all great location ,  nice restaurants nearby, nicely pitched service ."								 The staff was very friendly and helpful too .							" The staff at the front desk and the concierge were a bunch of snobs as well , ,  very arrogant ."												
