" A highlight of our visit was the historic boats at the Hyde Street Pier , ,  a national Park Service site that costs only $5 ."						 The staff and service were exceptional .	 The customer service was wonderful .	Great service and friendly Front Desk .	 The Concierge service is excellent .
" A masseur was giving guests a massage at the same location, not sure if there was a charge involved for that service, as there was no information about that anywhere ."						Wonderful service friendly people	 We were very impressed with the service we received .		The concierge service is second to none .
 A very cheerful staff and prompt service .									
 All employee's that I mentioned have shown customer service skills that are above and beyond .									
" All the staff go the extra mile to assist in anyway they can and the staff of the ajoining Cafe Pescatore are just as welcoming, with great service and the food is excellent ."									
" Also, thanks to Ken the concierge for recommending Grand Limo service ."									
 And the hotel restaurant food and service was   awful .									
 And value is key for the rooms and the service !									
 At this point I asked to be put through to Best Western Customer Services and amazingly our room was changed to a king bed suite as per our reservation within the hour .									
 Being that I worked as a front desk person at a Best Western for quite awhile I was on the lookout for good service and facilities .									
 Both of us having worked in tourism for over 14 years were very disappointed at the level of service provided by this gentleman .									
" But the maid service was excellent, it was very clean and the bed was comfortable ."									
" Did not eat at the restaurant, but room service was great ."									
 Excellent staff and service and the adjoining Italian restaurant was superb .									
" Found the food there to be quite nice, and our service was always prompt and efficient ."									
 friendly service was evident each day and the gentleman conceirge was patient and helpful .									
" From reading other reviews, it seems as though this hotel has significant lapses in service from time to time ."									
" Great people, service was terrefic, especially during this stressful time !"									
" However, there are countless restaurants of all sorts and price ranges within a 1, 4 block walk of this hotel, there is little reason to order room service ."									
" I had breakfast and dinner a few times at the restaurant joined to the hotel, Cafe Pescatore, and thought the food and the service were both very good ."									
 I personally appreciated the free internet service in the hotel .									
 I really didn't get a chance to experience the staff's level of service but the rooms are small as is the bathroom .									
" I was also disappointed that the hotel's &quot room service&quot  came from a nearby pizzeria, but the hotel still charged a fee on each delivery ."									
 i would also urge other vistors to prebook Alacatraz with Blue and Gold Fleet direct on there website before they arrive in San Fran as you can pick up your tickets at the self service machine without the miles of queues !									
" I'd highly recommend the Tuscan Inn based on location, cheerfulness of staff, aesthetics in the room and general overall service ."									
" I'd say that,as far as the evening   wine service is concerned,if you happen to be in the hotel,it's fine ."									
" In the evenings from 5pm till 6pm a wine, beer and sparkling water service was available ."									
" It has everthing you need to have a great time in a great city,  location, good service, great food  , comfortable rooms and a complimentary happy hour ."									
" It has some charms in decor, and all staff gave very good service to us ."									
" Lunch and dinner room service is provided by North Beach Pizza, which deliveries many Italian specialties including pasta, entrees, salads, sandwiches and of course ,  pizza ."									
 Maid service was prompt and outstanding .									
" Maid service was prompt, too ."									
 Never experienced the room service .									
" Nevertheless, I did like this hotel,  the rooms, location, and most of the service and I would stay here again ."									
" One day we had the do not disturb sign on the door before the maid had come so we could rest, and when we finally stepped out for about an hour, we changed the sign for maid service and everything was perfect when we returned !"									
" One other thing, I took my family to the eating establishment connected to this hotel and the service there was TERRIBLE !"									
 Overall we had a nice stay but just had some minor service issues .									
" Overall, the stay at The Tuscan Inn was great and would highly recommend due to the room service ."									
" Service was all good, albeit a bit stoic ."									
" Service was poor and they got our order wrong, but they did correct it at no extra cost and the food was good ."									
 Service was spotty  Front desk was marginally helpful .									
" Speaking of parking, you're going to have to pay and it's going to have to be valet service, as there are no free self park lots that are part of the hotel ."									
 Split a fare w a private service i .									
" Teaming this Hotel with the great food   service @ Cafe Pescatore, I would definitely choose this hotel again while in SF, an experience we won't ever forget ."									
" The adjacent Cafe Pescatero was handy for breakfast but had some hiccups in service, but it was okay overall ."									
 The cafe is comfortable and service was attentive and polite .									
" The concierge, in turn, told us to see the bellman, who said the shuttle did not run on weekends and he knew nothing about how to arrange the service ."									
 The food and service were both excellent .									
" The food at the &quot Cafe&quot  is quite &quot hotel, like&quot  but the service makes up for it ."									
 The front desk is the worst service I have had in years .									
" The highlight of this hotel for us was the service offered by the staff, particularly the two concierges on duty while we were there ."									
" The hotel is pretty much as you'd expect from the chain , nice clean rooms well serviced, and the staff were extremely helpful,  very pleasant to deal with ."									
 The hotel restaurant was a bit over priced but good service and good quality .									
 The only complaint I have is the Valet service .									
" The personalized service always stands out and if we have a problem, it is immediately remedied ."									
" The restaurant in the hotel ,  Cafe Pescatore ,  does the breakfast run for room service, it was adequate but a little overpriced ."									
 The restaurant is not cheap but is very well patronised and the service is very good as is the food .									
" The rooms are small but very clean, charmingly decorated with a view of the little flowered courtyard, comfy beds, plenty of pillows   towels and smiling service ."									
" The rooms were clean and updated, the beds were comfortable, and the bellman service was fast and efficient ."									
 The rooms were great and the Service wonderful .									
 The service from every staff member we encountered was delightful .									
 The service is always great and the rooms very clean .									
" the service is poor, and for those used to staying in Kimpton hotels ."									
" The service was excellent, the room was terrific, the bed was incredibly comfortable and the hotel is centrally located to all the major attractions of San Francisco ."									
" The service was fine with the exception of check, in ."									
" The service was friendly and helpful at the front desk, but the conciege that I dealt with was not very good ."									
" The service was good, the wine service each evening was very nice   next to the fireplace, and the location was awesome !"									
" The service was good, very friendly staff and we loved the free wine reception each night ."									
 The service was quick and gracious checking in and out .									
 The staff at this hotel make you feel so welcome and its service with a smile .									
 The staff was so friendly and helpful and the concierge service was very knowledgeable .									
 The valet guy was extremely helpful and very friendly but the check in guest services staff on the whole uninterested and unhelpful .									
 The whole trip was ruined by the guest service of the hotel .									
" Their service was of the level and knowledge I would expect at at 5, star hotel ."									
" There are many public transportation options including the cable cars, the trolley line and bus service ."									
 There are other hotels in the area who do not offer room service .									
 There was also a gentleman offering massage at this time and we met a few people who had enjoyed his services .									
 They say they pride themselves on being the best in guest service but I was not impressed at all .									
 They state that there is an obligatory service charge for tables of more than 6 .									
" This hotel is truly a value for the mid, level traveler looking for excellent accomodations and the HIGHEST LEVEL OF SERVICE ANYWHERE !"									
" This tuscan, themed hotel was charming, clean   comfortable and the complimentary concierge service was so helpful ."									
 This was probably not the best pick for us as we don't like tourist areas and Fishermans Wharf if one big tourist service .									
" Unfortunately we didn't get to dine in the hotel restaurant, but I'd say it would be good, if the after hours service is anything to go by !"									
" Valet parking for $40 per night seems a bit steep,but at least the service was efficient and quick ."									
" Valet parking was $36 a day, but we're not complaining because other SF wharf hotels have charged us a similar fee even without the valet service ."									
" very clean,well maintained,with efficient,if not overly friendly service ."									
 We asked her how to get back to the airport without having to pay the shuttle service $15 each .									
 We ate at the Italian restaraunt located in the hotel and the food and service was outstanding .									
" We ate breakfast there one day and were appalled at the slow service, rude waitstaff, and overpriced breakfast food ."									
 We ate there several times and never had a bad meal or poor service .									
" We did not eat at the hotel restaurant, we chose to eat at the IHOP around the corner for breakfast and it was good food and service, and they are open 24 hours ."									
 We did not use this service but thought it was nice that it was available if needed .									
 We dined as a party of 4 and were still hit with this and then the waitress failed to hand over $10 of change taking this as an additional service charge .									
" When we finally found the church later, the service times she had given us were wrong, too ."									
" While we were making these arrangements, the valet secured a shuttle service to get us to the airport on time ."									
 WORST BW we've ever stayed in as far as service goes .									
", provide service like high end hotels ."									
", we walked everywhere including up the hill to Coit Tower   then walked down just in time to attend 1300 service @ St ."									
"Amenities ,  While this hotel isn't a luxury property, they have some nice touches like marble bathrooms, mini bar, room service and an evening wine reception every day   ."									
