"   The internet service which costs GBP15 per day is slower than dial, up  !"							 The food was good and the service was very good .
" A prompt reply indicated not and that the reception area deposit boxes were temporarily out of service, so they offered to upgrade our rooms to executive rooms at no extra cost ."							" Stunning food, amazing service ."
" All in all great location ,  nice restaurants nearby, nicely pitched service ."							 The food is excellent and the service great .
 Also we were later informed that only executive rooms had the service of mini bar !							
" Although we did get a strange phone call from room service at 1am, wrong number i think ."							
 ASK is a very nice Italian restaurant nearby serving pastas and pizzas with excellent service which will run about 10							
" At the reception the service were exelent ,  altought during that five minutes I was standing there, the receptionists appologised three times !"							
" Be cautious of using the room services like the phone, mini bar and room service as the prices are sky high, but I would definitely stay there again and I would recommend this hotel to anyone !"							
" because it has sensor to count how many times you open it for beverage service, nice area, near Starbucks, pastry shops, fast foods, supermarket, walking distances to Kensington Palace, London Natural Science Museum, Harrods, Victoria Albert Musuem, pubs, and what else could you ask for ."							
" Breakfast was good, with many choices and excellent service ."							
" but after having spent an entire week in London, I came to realize that just about anybody in the service industry is just that ."							
 But there are much better hotels to choose from for the same price and at least you get some good service and respect from staff .							
 Concierge was very helpful  we didnt take the English breakfast but the downstairs bar offers croissants and Starbucks coffee and the service was very nice .							
" Despite its size, and the fact that there are over 20 floors of bedrooms, lift service was never slow, and the breakfast operation   is exceptionally well, managed ."							
" Did not use any of the hotels other services, but I was pleased overall and would stay here again ."							
 Did not use any other facilities or order room service .							
" Fantastic, professional, helpful staff, clean rooms, great room service, fitness area and Internet Business facilities keep me coming back ."							
" Finally, the hotel did nothing to inform us about a transit strike on the tube and when we heard about it on our own and asked the concierge for help with getting to the airport, he advised taking a cab service for 50 pounds plus banking holiday surcharge, , we luckily found a cheaper alternative by ourselves ."							
" Food quality was good, service prompt, everything prepared as we had ordered ."							
" Food was OK, service very haphazard ."							
" For a little extra money, the soon to be Crowne Plaza over the road offers far better service yet with the same great location"							
" For the price, cleanliness, service and quality it definately deserves a higher star rating ."							
" Front, line staff members speak very poor English, and provide VERY poor customer service   ."							
" Good concierge service ,  recommended very good restaurants ,  italian and indian ,  to us ,  in walking distance from the hotel ."							
" Great location, freshly renovated, very small rooms, anonymous hotel, acceptable service ."							
" However the hotel is very large and loses some personal service as a result ,  the service we received was variable, with little recognition of our Platinum Priority Club Rewards status, and slow room service   ."							
 However the service was quite efficient  my pants were brought back the same day .							
 I am recommending the Forum despite the service problems .							
" I can say that every time I have been disappointed with either the value, standards, cleanliness,service of the hotel ."							
 I noticed on my last stay that the quality of service was very diminished .							
" I ordered room service one night, and the food was delightful, and the service was fast and friendly ."							
