 headphone jack i got a clear case for it and it  i got a clear case for it and it like prvents me from being able to put the jack all the way in so the sound can b messsed up or i can get it in there and its playing well them go to move or something and it slides out .						" The sound quality is good, and"	 Has a great sound and quality .	" Very user friendly, great sound ."	" Earphones sound good, but slides out of ears ."
  I gave the duribility and sound quality low scores so that the overall rating would be low .						 the sound quality is very good .	and the sound and quality is great !	 Easy to use and great sound  .	" The earphones sound good, but slides out of your ears and have to be pushed back in to get the full sound effect ."
"  Sound is great when attached to great speakers, except in the car ."						 I've been really impressed with the sound quality .		 It is very easy to set up and use plus has great sound .	" I love the sound quality of the earbuds, but they fit horribly in my ears ."
"  The iPod Nano is a very sleek, cutting edge device with high, quality sound and state, of, the, art graphics ."						I particularly love the sound quality .		 Love the sound quality and ease of use .	
 Also got a sound dock   to go with the Nano for listening without a headset .								 Great sound and very easy to use .	
" and the video quality is very good, and the sound quality is very good as well ."								 I just love how easy it is to use and the sound is nice and clear .	
" As for the overall sound I would give it a 8 out of 10, and the volume offers itself loud enough to tune out everything else at your local gym ."									
" Bigger picture, doesn't need a headset to hear it, but sound is fabulous through headset ."									
" Doesn't sound too good, but it's nice to have if you need to listen to something right away !"									
" Down loading was a breeze, with the sound quality being excellent ."									
" Easy to set up, lots of memory, Good Sounding  ."									
" Easy To Set Up, Simple Controls, Sleek Compact, Great Sound I am truly enjoying my iPod ."									
" Easy to use, good value for money, great sound quality  ."									
" easy to use, great sound, compact  ."									
" Easy to use, Great sound, long battery life, love the fact that I can tune in to my favorite radio station, and I'm into exercise so the pedometer with calories burned is a great addition ."									
" Easy to use, Video Camera, Radio, Size, Sound Quality  ."									
" EASY, FUN, SOUND QUALITY, SMALL  ."									
 Good sound and useful as a radio but that									
 Great sound and awesome features and display  .									
 great sound and great price  .									
" Great sound quality, love the video recording too  :"									
" Great sound, easy to load & use once I read the instructions ."									
" Great sound, lots of equalizer settings ."									
" Great Sound, Sleek Compact The only problem so far is that our Ipod speakers don't charge the new Ipod nano ."									
" great video quality, no ear buds required internal sound system sounds great  ."									
" Had an older nano  and this item is remarkably improved, with better functioning buttons and cleaner, more improved sound quality ."									
 He was able to figure everything out on his own with very little help and the sound system									
 I am sure that if the thing worked it would have sounded great .									
" I can't compare to any others, but the sound quality is really good ."									
 I don't particularly use it with headphones although the sound is									
