 A staff member must have gone in right after we checked out .		Upon entering the elegant lobby we were greeted pleasantly by the staff .	 The front desk staff was efficent and friendly .	 Staff are friendly and helpful   .	 The staff were very helpful .	The hotel staff are really friendly .	Staff was all friendly and courteous .	 The front desk staff were very helpful .
 a staff member named Mark actually snapped at me at the wine tasting when I tried to find out what kind of wine was being offered .		" On arrival, were met by friendly reception staff ."	The front desk staff were very friendly and efficient .	 Staff was very friendly helpful .	 The entire staff was helpful .		 Staff were very friendly and courteous .	 The front desk staff were more than helpful .
" a superb hotel with staff so helpful efficient, the food at the pescadora restaurant is a must, and to be quite honest better than most of the other places we ate at on the wharf whilst there, one of which being quoted to being the best , ."				Staff were helpful and generally friendly .	 Staff and concierge were very helpful .			
 A very cheerful staff and prompt service .				 The staff was helpful and friendly .	 The front desk was very helpful as was the rest of the staff .			
" All the staff go the extra mile to assist in anyway they can and the staff of the ajoining Cafe Pescatore are just as welcoming, with great service and the food is excellent ."				 Staff were pleasant and helpful .				
" All the staff was excellent, but the concereige, Clay, really went above and beyond to help us find our way around San Fransisco ."				"Staff ,  Very friendly and helpful ."				
 all the staff we encountered were super friendly and the hotel location is great .				 The staff were very friendly and helpful during our stay .				
 Also on my third day I came back from a long day sightseeing and stopped at the front desk to ask for milk and sugar to be sent up to the room as we wanted to have a coffee after our long day at which I was told to go into the restaurant and ask the waiting staff myself and take it up to my room myself !				 Hotel staff was friendly and helpful .				
" Also, the hotel staff was very helpful and considerate ."				PositivesThe staff were friendly and helpful .				
" Also, the staff   Chief Chief Concierge are very friendly   knowledgable ."				 All staff very friendly and could not have been more helpful .				
" but its nice and clean and the staff was really nice, and its located 2 blocks from the warfh"				 The staff were friendly and helpful .				
 But the thing that impressed us the most was the overall friendliness and helpfulness of the entire staff .				 Staff very helpful and pleasant .				
" Checking in was easy, with very friendly, helpful front desk staff ."				 The staff is friendly and helpful .				
" Checkout early Wednesday morning took about 2 minutes to complete, no complaints with the staff ."				 The staff was beyond kind and helpful .				
" Comfortable bed, staff was excellent ."				 Staff was extremely friendly and helpful .				
 Especially the housekeeping staff .				 The staff is friendly and helpful .				
 Every hotel should have the staff that is here at the Best western Tuscan inn .				 Staff were friendly and helpful .				
				 Every single staff member we came into contact with was extremely helpful and very nice !				
" Everything was clean, good staff ."								
 Excellent staff and service and the adjoining Italian restaurant was superb .								
 Found the staff helpful especially the lady concierge who supplied maps and bus routes for Lincoln Park .								
 From start to finish the staff did not put a foot wrong .								
 From the time we arrived we were made to feel most welcome by all staff .								
" From the time we walked into the lobby until the time we checked out the stafff was always very hellpful and the room was very nice, clean, and quiet ."								
 Front desk staff even took the time to call a restaurant at pier 39 to inquire about the dress code for me even though they had a couple of people also waiting to ask questions or to check in .								
 Front desk staff were always pleasant .								
 Great restaurant with a friendly staff .								
" Great room, friendly staff, superb location ,  just a couple of blocks away from the hustle and bustle of Fisherman's Wharf and 2 minutes from the cable car turnaround that takes you straight to Union Square ."								
 He was one of the better concierge staff I've encountered at a hotel .								
 Helpful staff and safe surrounds .								
" Hotel is nice and clean, in a very convenient location, and the staff is friendly and helpful ."								
 Hotel staff was polite and helpful .								
 Hotel was comfortable and all the staff helpful and polite .								
" Hotel was Very nicely furnished, staff was Very helpful ."								
" HOWEVER, the front desk staff is always more than willing to jump in with helpful advice and recommendations ."								
" However, the Tuscan Inn has the best of all worlds,  great location, all the amenities, excellent staff, nice restaurant adjoining, and very reasonable prices ."								
" I can only think that some of the staff are very good and some equally bad, since our experience was a very positive one ."								
 I could excuse this if staff was friendly but I left there dissapointed .								
 I found the concierge and front desk staff to be helpful and the housekeepers to be quite good .								
 I found the staff to be helpful when required but unobtrusive otherwise .								
" I happened to go up to our room when the housekeeping staff was out in force ,  every single woman I passed said hello to me !"								
 I have to say I see everyone that reviews this hotel compliments the front desk staff I actually found from the second day on that they were most unhelpful and actually quite rude !								
 I really didn't get a chance to experience the staff's level of service but the rooms are small as is the bathroom .								
 I was very delighted with the pleasant and professional hotel staff all the way from the doormen to the desk clerks .								
" I will say that the beds were comfortable and select staff were friendly, but definitely not enough incentive to try my luck again at this hotel ."								
