 8 10Location 11 10Amenities :		Excellent service great location good value	"Good Value good location ,  ideal choice ."	The hotel location was perfect .	 Location could not be better .	Best location in Fisherman's Wharf .	 Overall an average hotel in a great location	 This hotel location could not be any better .		" It is in a great location, 5 minute walk to Fisherman 's Wharf promenade and 5 minute walk to a tram stop ."	 The best part of the hotel was its location .	Great location for San Francisco sightseeing			The hotel is in a fantastic location just a 5 minute walk from Fisherman's Wharf and no more then 10 minutes from the cable cars and other attractions .
" A masseur was giving guests a massage at the same location, not sure if there was a charge involved for that service, as there was no information about that anywhere ."		Great location service and value !	great location and reasonably priced	Hotel is in perfect location .	 Really good location for me .	 This hotel is in a good location on Fisherman's Wharf .	"Rooms were pretty standard   ,  but it's the location which sells this place ."	This hotel is in a perfect location .		" Location is fantastic , ,  2, 1 2 blocks from Fisherman's Wharf, 4 blocks to Pier 39, 1, 1 2 blocks to the trolley ."	"Location ,  This is the best part of the hotel ."	Great Location For Exploring San Francisco			" The hotel is in a great location, Close to Fishermans wharf, Cable cars, ect ."
" A superb location, reasonable price, easy access to all the main sights and transit lines to get around the city ."			Great location at a reasonable price	What a great hotel terrific location !	The location was really the best part .	 Perfect location to Fishermans Wharf .		Loved the location of this hotel !		 The location is excellent for access to the cable cars and the wharf .	" The best feature of this hotel is location, location, location ."				
 A wonderful property in a super convenient location .				A lovely hotel in a great location	not to mention perfect location !	Perfect Fisherman's Wharf Location		 We were very happy with the location of this hotel .		" The location is mere walking distance to the wharf, cable car, and so much more ."					
" All in all, the location was perfect ,  a short walk to the cable cars or bus lines, a Safeway grocery and Walgreens drugs is across the street in a parking garage, type mall, and there are small places to eat breakfast nearby plus an IHOP a few blocks over ."				A friendly hotel in a good location	" So, the location was awesome ."	 Perfect location near Fisherman's Wharf .		 The hotel location was great .		" The location is perfect ,  two blocks from Fisherman's Wharf and only a block to the street car and trolley ."					
 all the staff we encountered were super friendly and the hotel location is great .				Great location pretty good hotel	" Again, the location was great !"	" The location is great, only 2 blocks from Fisherman's Wharf ."		" Hotel could not have been in a better location , ,  can't be beat !"		Excellent location 2 blocks from Fishermans Wharf and 1 block from cable car .					
" Also, the location is dull  nothing of real interest withing a couple of blocks all around ."				Perfect Location and Lovely Inn	 You cannot beat the location !	" The location is great, only a few blocks from the Wharf ."		"If you are looking for a great location, I would recommend this hotel ."							
" Although our weekend was during a storm, the close proximity to the piers and public transportation still made our location idea ."				"Great hotel, nice location for everything !"	 The location could not be any better .	Great location to Fishermans Wharf .		 The location of the hotel is very good .							
 And the location is perfect for tourists .				Loved this hotel and location !	" In addition, it is location, location, location ."	 Location in proximity to the Fisherman's Wharf was only 2 easy blocks away .									
" Ask to see a few rooms before you check in, because the room size and location can vary between floors and sides ."				A great hotel in a great location	"That said, the location is marvelous ."	The location is excellent if you want to be near the wharf .									
" Can't beat location, Mason and North Point ."				Great Hotel in a Great Location		 The location is within walking distance of fisherman’s wharf .									
 Collect the same rate as for Fisherman's Wharf location .				"Overall though, the location was great and the hotel was nice ."		It's in a good location by Fisherman's Wharf Pier 39 .									
 Comfortable hotel in very good location for ferries and Pier 39 .				 Lovely hotel and excellent location .		 Great location in Fishermans Wharf .									
" Considering the rate $165 nite, and the location, 2 blocks from Fisherman's Warf, this is a terrific value ."				 Overall though a top hotel in an excellent location .		Really good location for Fisherman's Wharf .									
" Exellent location for Pier39, Fishermans wharf and trams etc, with a large Safeway a block away ."				"All in all, a fantastic hotel and a great location ."		 Perfect location on the edge of Fisherman's Wharf .									
" First, it is in a fantastic location ,  blocks from Fisherman's Wharf and within walking distance to so many things !"						Excellent location near Fishermans Wharf .									
" From the hotel we walked to Fisherman's Wharf, Pier 30, The Cannery, Ghirardelli Square, Coit Tower, Lombard Street, Chinatown, and many other locations ."						" Overall, though, a great location if you want to be near the Wharf ."									
" Good location a few blocks from Fisherman's Wharf, if that's where you want to be ."						 If you want to stay near the Wharf this is a good location  .									
 Great location near Fisherman's Wharf and a great price for a suite albeit not a huge one !						The location was good if you want to be near Fisherman's Wharf .									
" Great location situated on the flat, no hill to climb !"						" The location is terrific ,  two blocks from Fisherman's Wharf ."									
" Great location, if you are doing north and east San Francisco stuff ."						It is a 2 block walk to the wharf and the location is very convenient .									
" Great location,close to everything ."						This hotel is in a great location in terms of a walking distance to key Fisherman's Wharf attractions .									
" Great room, friendly staff, superb location ,  just a couple of blocks away from the hustle and bustle of Fisherman's Wharf and 2 minutes from the cable car turnaround that takes you straight to Union Square ."						" The location was great, just a few blocks from Fisherman's Wharf ."									
" Hotel is nice and clean, in a very convenient location, and the staff is friendly and helpful ."						 The hotel is in a great location  you can walk to anything in the Fisherman’s Wharf area .									
" However, the Tuscan Inn has the best of all worlds,  great location, all the amenities, excellent staff, nice restaurant adjoining, and very reasonable prices ."						" The location is fantastic ,  just a few blocks from Fisherman's Wharf, and everything is nearby ."									
 I continue to find BW's in unique places with good property locations .						 Location is perfect for Fisherman's Wharf and adjoining areas .									
" I don't think you could do better for location, especuially if you're visiting the city for the first time ."						" The location could NOT be better ,  we were 2 blocks from the Wharf !"									
 I highly recommend this property to anyone looking for a comfortable stay in a quality hotel in a great location .															
" I'd highly recommend the Tuscan Inn based on location, cheerfulness of staff, aesthetics in the room and general overall service ."															
" If you get a cheap rate here, have low expectations and are sound sleepers, then this is good for location to Fisherman's Wharf attractions ."															
" if you want to be more center city, check out other locations in a different area ."															
 If you want to be near Fishermans Wharf the location is great .															
 If you're traveling to SF for the first time and have kids with you I think this is a perfect location .															
" It has everthing you need to have a great time in a great city,  location, good service, great food  , comfortable rooms and a complimentary happy hour ."															
" It is in a great location, the rooms are clean and comfortable and the managers wine hour is a welcome bonus ."															
" It is in a great location, the staff is always alert and courteous, the rooms are clean, the morning coffee and biscotti are a nice touch, the happy hour is a PLUS, and the price is right  !"															
" It is in an excellent location, which you need for such a short stay ."															
 It is very convenient to Fisherman's Wharf and you can easily get to any other locations in the city via the Muni system .															
 It was a very convenient location to Pier 39 and the trolley cars .															
" It was smaller than we were used to, but the location made up for it ."															
" It's a truely wonderful little hotel, with great people in a great location bus stop across the street, f car one block down and cable car one block up and west where you can buy a 7 day ticket for all 3 ,  who needs a car !"															
" It's location is fantastic if you want to get to the Ballpark, to the cable car, on and off the freeway, to the wharf, etc ."															
" Location is also great, with a couple of supermarkets within a block from the hotel ."															
 Location is everything at this site  everything you need is right in the area .															
" Location is excellent, walking distance to Fisherman Wharf and Chinatown ."															
" Location is very convenient to Fisherman's Wharf, North Beach, Russian Hill, and the Embarcadero ."															
" Location was also near Pier 39  , Ghiradelli's chocolate factory, and Alcatraz ."															
" Location was nice for getting all around the city  we mostly walked from place to place, even to and from downtown along the Embarcadero ."															
" location, friendly staff, beautiful rooms and comfy beds ."															
" Location, wise, the hotel was perfect  it was within walking distance of the pier for Alcatraz and a two minute walk away from the tram as well as Lombard Street ."															
" My boyfriend's first response was &quot wow, this is a tiny room&quot , but it was what I was expecting considering the location and that this is only a 3, star property ."															
 My husband found this hotel on Trip Advisor and it ranked very high and we weren't disappointed at all as it is in a great location and a very nice hotel .															
" Nevertheless, I did like this hotel,  the rooms, location, and most of the service and I would stay here again ."															
" Nice, medium sized hotel in a good location ."															
" Other than the small room, the location was great and very close to all the attractions of Fisherman's Wharf ."															
" Our travel agent, Terri, suggested this place and said it had a great location and cozier feel than some other hotels ."															
" Overall a great hotel, awesome location, felt very safe everywhere we went ."															
" Overall, it was a good location, but an average hotel with serious noise issues ."															
" The best thing was the location, close walk to the wharf and other places ."															
 The BW Tuscan Inn is a very charming hotel with an excellent location if you want to be within a 5 minute walk to Fisherman's wharf and Pier 39 .															
 The first thing I have to comment on is the great location .															
 The hotel has the perfect location for a S .															
 The hotel is also very noisy but I guess this is inevitable considering the location .															
 The hotel is in the perfect location for Fishermans Wharf and the best activity in San Francisco BIKE THE BRIDGE .															
 The hotel is very central to everything and I would stay there again for its location .															
 The location for tourists can not be beat .															
" The location is fabulous for getting around the Fisherman's Wharf and the concierge, Hugo and Cliff, are fantastic and full of wonderful ideas ."															
" The location is fantastic ,  a 5 minute walk to the Wharf and close to bus and trolley stops ."															
 The location is good and the rooms are very pretty and clean .															
" The location is good here, but that is all the good I can say about this place ."															
" The location is good, and the overall decor is nice, but there was nothing that I can really rave about ."															
