Test Set,Method,Train Set,P,R,F1,Acc
ASIAF,First Mentioned,---,0.25101214574898784,0.2421875,0.24652087475149104,0.2421875
ASIAF,ML Classical Features,SOC,0.94921875,0.94921875,0.94921875,0.94921875
ASIAF,ML Hybrid Features,SOC,0.96484375,0.96484375,0.96484375,0.96484375
ASIAF,ML Word Emb. Features,SOC,0.9140625,0.9140625,0.9140625,0.9140625
ASIAF,Most Commonly Mentioned,---,0.92578125,0.92578125,0.92578125,0.92578125
SOC,First Mentioned,---,0.4222222222222222,0.4175824175824176,0.419889502762431,0.4175824175824176
SOC,ML Classical Features,ASIAF,0.8681318681318682,0.8681318681318682,0.8681318681318682,0.8681318681318682
SOC,ML Hybrid Features,ASIAF,0.8791208791208791,0.8791208791208791,0.8791208791208791,0.8791208791208791
SOC,ML Word Emb. Features,ASIAF,0.945054945054945,0.945054945054945,0.945054945054945,0.945054945054945
SOC,Most Commonly Mentioned,---,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
