Paper,Embedding,Similarity,rho
This paper,AdaGram, AvgSimC,0.437692659
This paper,AdaGram, RefittedSim-S,0.647537113
This paper,AdaGram, RefittedSim-SU,0.650271254
\cite{Huang2012},Huang et al.,AvgSimC,0.657
\cite{Huang2012},Pruned tf-idf,AvgSimC,0.605
\cite{Chen2014},Chen et al.,AvgSimC,0.689
\cite{tian2014probabilistic},Tian et al.,AvgSimC,0.654
\cite{tian2014probabilistic},Tian et al.,MaxSim,0.656
\cite{iacobacci2015sensembed},SenseEmbed,Min Tanimoto,0.589
\cite{iacobacci2015sensembed},SenseEmbed,Weighted Tanimoto,0.624
