Wall time,Step,Value
1529395588.515943,1,16.634244918823242
1529395617.934982,11,16.277482986450195
1529395645.53636,21,16.067340850830078
1529395673.405958,31,15.96237850189209
1529395701.329689,41,15.898897171020508
1529395728.595763,51,15.846264839172363
1529395756.145486,61,15.778852462768555
1529395783.361154,71,15.660486221313477
1529395810.518093,81,15.504439353942871
1529395838.383692,91,15.335902214050293
1529395865.362412,101,15.232353210449219
1529395892.337464,111,15.138847351074219
1529395919.977586,121,14.978761672973633
1529395947.498324,131,14.850066184997559
1529395975.88918,141,14.722122192382812
1529396003.15414,151,14.597519874572754
1529396030.561014,161,14.476372718811035
1529396058.218128,171,14.378850936889648
1529396085.757119,181,14.314695358276367
1529396112.857645,191,14.265402793884277
1529396140.440735,201,14.231221199035645
1529396167.655483,211,14.201632499694824
1529396195.310411,221,14.177830696105957
1529396223.102282,231,14.157951354980469
1529396251.058218,241,14.142236709594727
1529396278.62948,251,14.127525329589844
1529396305.92948,261,14.119475364685059
1529396403.242304,1,16.632802963256836
1529396432.842137,11,16.27358627319336
1529396462.009187,21,16.061790466308594
1529396490.445317,31,15.952618598937988
1529396518.860785,41,15.8895845413208
1529396546.9248,51,15.838452339172363
1529396575.28031,61,15.778539657592773
1529396603.75856,71,15.70373249053955
1529396632.260142,81,15.58980941772461
1529396660.670558,91,15.416204452514648
1529396689.319607,101,15.290555953979492
1529396717.531892,111,15.196324348449707
1529396745.540289,121,15.045096397399902
1529396773.591653,131,14.85069751739502
1529396801.480887,141,14.691905975341797
1529396829.49181,151,14.5609712600708
1529396857.338453,161,14.4609375
1529396885.814416,171,14.39445686340332
1529396914.219296,181,14.347561836242676
1529396942.714955,191,14.308674812316895
1529396970.881525,201,14.2772855758667
1529396999.373319,211,14.25413990020752
1529397027.63528,221,14.235657691955566
1529397055.755404,231,14.214639663696289
1529397084.153189,241,14.202021598815918
