ground_length,Instances,Time Taken (s),BLEU Score,Perfect Sentences,Portion Feasible,Portion Perfect (Feasible Only),BLEU Score (Feasible Only)
1,57,0.036309727,1,1,1,1,1
2,1165,0.064167477,0.999141631,0.999141631,0.996566524,1,1
3,3043,0.126850363,0.973710154,0.973710154,0.98389747,0.981295925,0.981295925
4,3295,0.236978699,0.94947136,0.949317147,0.988770865,0.958256599,0.958412564
5,4105,0.391079096,0.909552693,0.908891596,0.989037759,0.918719212,0.919387637
6,4299,0.635868615,0.865799558,0.852989067,0.990230286,0.861404745,0.874341626
7,4606,0.90579157,0.834821653,0.802865827,0.989144594,0.81167691,0.84377812
8,4279,1.320518114,0.802023387,0.740126198,0.981537742,0.754047619,0.817109065
9,4080,1.810057176,0.766368288,0.661764706,0.974264706,0.679245283,0.786525615
10,3768,2.578040017,0.734579929,0.587048832,0.969214437,0.605695509,0.757836297
11,3395,3.462493717,0.697867257,0.51988218,0.946686303,0.549159925,0.737168432
12,3157,5.155170355,0.663096451,0.436173583,0.935064935,0.466463415,0.709144816
13,2931,7.37742362,0.626381266,0.374957352,0.913681337,0.410380881,0.685406819
14,2556,10.77291045,0.572580716,0.298904538,0.88028169,0.339555556,0.650360331
15,2425,16.53158276,0.524210429,0.250721649,0.838762887,0.298918387,0.624869183
16,2142,23.84159434,0.487984087,0.190943044,0.808590103,0.236143187,0.603166446
17,1926,36.04814781,0.434987756,0.147975078,0.744029076,0.198883461,0.584397458
18,1826,56.57619361,0.380046314,0.101314348,0.689485214,0.146942017,0.551051966
