ground_length,Instances,Time Taken (s),BLEU Score,Perfect Sentences,Portion Feasible,Portion Perfect (Feasible Only),BLEU Score (Feasible Only)
1,57,0.024746401,1,1,1,1,1
2,1165,0.066510271,0.998283262,0.998283262,0.996566524,1,1
3,3043,0.124403468,0.968780808,0.968780808,0.984883339,0.981314648,0.981314648
4,3295,0.231769687,0.951441578,0.951441578,0.990288316,0.960772295,0.960772295
5,4105,0.380354692,0.920269697,0.920097442,0.992935445,0.926643768,0.926643768
6,4299,0.592863222,0.885028007,0.872993719,0.996510816,0.87605042,0.888126845
7,4606,0.889307581,0.860113035,0.830438558,0.996743378,0.833151819,0.86292325
8,4279,1.30229427,0.836114038,0.779387707,0.996961907,0.781762775,0.838565597
9,4080,1.769680121,0.808389257,0.706617647,0.998529412,0.707658321,0.809579816
10,3768,2.487962263,0.782937214,0.638004246,0.996815287,0.640042599,0.785438611
11,3395,3.325197278,0.76090518,0.577319588,0.997938144,0.578512397,0.762477299
12,3157,4.778062789,0.739623337,0.504592968,0.998099462,0.505553792,0.740936545
13,2931,6.93853338,0.718466125,0.452064142,0.996247015,0.453767123,0.721172675
14,2556,9.938436852,0.684114874,0.377543036,0.998435055,0.378134796,0.685187154
15,2425,15.37173646,0.663209879,0.334845361,0.997113402,0.335814723,0.665129842
16,2142,23.60943509,0.644770146,0.275910364,0.995798319,0.277074543,0.647490695
17,1926,34.97672212,0.630128435,0.230529595,0.998442368,0.230889236,0.631111475
18,1826,52.78166514,0.603629102,0.193318729,0.996166484,0.194062672,0.605952029
