ground_length,Instances,Time_taken,BLEU_Score,Exact_Matches,Feasible,Exact_Matches_Feasible_only,BLEU_Score_feasible_only
1,8,0.04,1,1,1,1,1
2,140,0.05,1,1,1,1,1
3,304,0.09,0.97,0.97,0.98,0.98,0.98
4,343,0.2,0.95,0.95,0.99,0.96,0.96
5,388,0.33,0.89,0.89,0.98,0.91,0.91
6,443,0.52,0.88,0.87,1,0.88,0.89
7,414,0.79,0.85,0.82,0.99,0.83,0.86
8,430,1.19,0.81,0.73,0.98,0.74,0.82
9,422,1.64,0.78,0.69,0.98,0.71,0.79
10,381,2.54,0.73,0.58,0.96,0.61,0.77
11,375,3.45,0.68,0.48,0.93,0.52,0.73
12,350,4.84,0.7,0.49,0.93,0.52,0.75
13,285,7.14,0.63,0.35,0.92,0.38,0.69
14,242,10.02,0.57,0.27,0.9,0.3,0.63
15,242,15.53,0.53,0.27,0.84,0.32,0.63
16,230,24.07,0.51,0.22,0.83,0.27,0.61
17,187,36.53,0.42,0.13,0.74,0.18,0.57
18,186,57.02,0.41,0.13,0.73,0.18,0.56
