ground_len,brown_glove50_perfect_mean,brown_glove50_jaccard_mean,brown_glove50_precision_mean,brown_glove50_recall_mean,brown_glove50_f1_mean,brown_glove100_perfect_mean,brown_glove100_jaccard_mean,brown_glove100_precision_mean,brown_glove100_recall_mean,brown_glove100_f1_mean,brown_glove200_perfect_mean,brown_glove200_jaccard_mean,brown_glove200_precision_mean,brown_glove200_recall_mean,brown_glove200_f1_mean,brown_glove300_perfect_mean,brown_glove300_jaccard_mean,brown_glove300_precision_mean,brown_glove300_recall_mean,brown_glove300_f1_mean,books_0_01_glove300_perfect_mean,books_0_01_glove300_jaccard_mean,books_0_01_glove300_precision_mean,books_0_01_glove300_recall_mean,books_0_01_glove300_f1_mean
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.918571429,0.92547619,0.928261905,0.931428571,NaN,0.995714286,0.996666667,0.996666667,0.997142857,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.678606965,0.731876333,0.759764274,0.770812604,NaN,0.975124378,0.980713101,0.983747927,0.983747927,NaN,0.9960199,0.99721393,0.99800995,0.997678275,0.997810945,1,1,1,1,1,0.999014131,0.999605652,0.999605652,1,0.999753533
4,0.409465021,0.524953062,0.575718123,0.608796296,NaN,0.935185185,0.958622787,0.965438223,0.971193416,NaN,0.994855967,0.9968107,0.997702332,0.997685185,0.997672937,1,1,1,1,1,0.996054628,0.998164607,0.998401619,0.999241275,0.99873883
5,0.279111111,0.417059871,0.477799134,0.516088889,NaN,0.862222222,0.909607513,0.924324868,0.936355556,NaN,0.984,0.991713933,0.994002116,0.994488889,0.994192593,0.996444444,0.997968254,0.998577778,0.998577778,0.998577778,0.988063337,0.994472478,0.995705586,0.997028015,0.996256598
6,0.118040089,0.270457449,0.340117084,0.387899035,NaN,0.753526355,0.847543584,0.872491031,0.895446672,NaN,0.97030438,0.984626491,0.988816712,0.989730265,0.989185029,0.989606533,0.994679535,0.996411779,0.996411779,0.996411779,0.97813445,0.990768894,0.993155939,0.994960068,0.99392683
7,0.049792531,0.202604156,0.274298939,0.326714088,NaN,0.647994467,0.779140487,0.8141852,0.851215175,NaN,0.961272476,0.981327899,0.986072417,0.988144635,0.98700368,0.991009682,0.996081143,0.997456036,0.997530132,0.997490615,0.966348241,0.986833325,0.990447673,0.992866447,0.991506679
8,0.024188415,0.168320118,0.238635643,0.291772756,NaN,0.497135582,0.675464674,0.725353749,0.779042011,NaN,0.952896244,0.979274587,0.985404605,0.986950987,0.986093326,0.984723106,0.993938108,0.996195932,0.996180777,0.996184521,0.951857911,0.983170513,0.987641101,0.991645244,0.989412701
9,0.006301197,0.140113754,0.208095709,0.259119233,NaN,0.36294896,0.58012735,0.641108834,0.712455367,NaN,0.90989288,0.95985612,0.970444386,0.975355318,0.972666952,0.978575929,0.992864372,0.995512147,0.995799202,0.995648121,0.939215686,0.979379579,0.984932469,0.989624183,0.987044099
10,0.003851091,0.132314367,0.199650498,0.251668806,NaN,0.237483954,0.495443016,0.567833431,0.657381258,NaN,0.870988447,0.940691344,0.955104364,0.963478819,0.958859283,0.969833119,0.98977301,0.99344731,0.993838254,0.993633474,0.922239915,0.975297084,0.982080816,0.987924628,0.984729393
11,0.001218769,0.12393319,0.190461103,0.239598914,NaN,0.163924436,0.42339714,0.499707205,0.6023489,NaN,0.824497258,0.917790477,0.937131886,0.950196665,0.942999605,0.970749543,0.989659195,0.993362061,0.993739959,0.993537345,0.892488954,0.967403746,0.976083449,0.984335252,0.979837403
12,0,0.116666776,0.182113396,0.22805302,NaN,0.090612777,0.354958655,0.437792356,0.547370708,NaN,0.767275098,0.886696061,0.911116164,0.929650152,0.919402737,0.961538462,0.988440645,0.992788285,0.993426771,0.993088318,0.864745011,0.960880941,0.97099308,0.981839299,0.975974071
13,0,0.111664106,0.175600716,0.219306375,NaN,0.04692454,0.30822844,0.391141406,0.510950685,NaN,0.687381103,0.847719015,0.879619372,0.907126482,0.89190014,0.947368421,0.98260374,0.988587258,0.989659041,0.989090724,0.834868646,0.951878402,0.964309766,0.977009684,0.970151897
14,0,0.106422811,0.169259873,0.209592997,NaN,0.030322173,0.269183447,0.350710718,0.47152784,0.399867247,0.587492104,0.789177578,0.8318091,0.869145384,0.848486368,0.93809223,0.979639314,0.986432373,0.987862106,0.987099582,0.787167449,0.939612707,0.954260956,0.971551531,0.962230705
15,0,0.111493393,0.177897795,0.217714409,NaN,0.020090732,0.263572468,0.346038516,0.468265284,NaN,0.528839922,0.752102574,0.80144788,0.845841434,0.821206937,0.918340894,0.973201205,0.981793097,0.984143444,0.982881683,0.73443299,0.921659022,0.939682834,0.962639175,0.950208041
16,0,0.10685625,0.171947041,0.20809322,NaN,0.005423729,0.228105102,0.307178776,0.432838983,0.357656623,0.411525424,0.680240584,0.742336999,0.79970339,0.767787721,0.908474576,0.968490599,0.978010619,0.981567797,0.979650881,0.694211018,0.907922105,0.929549368,0.954627684,0.941089138
17,0,0.10500679,0.169952875,0.204846727,NaN,0.003521127,0.21920891,0.298840992,0.421002486,NaN,0.338028169,0.629357874,0.699713427,0.766238608,0.729143144,0.871830986,0.956632708,0.969763597,0.974440762,0.971908244,0.612149533,0.875988583,0.903615957,0.937206035,0.919046797
18,0,0.10819657,0.175368737,0.209959782,NaN,0.001419446,0.212263722,0.291388266,0.413650343,0.34066467,0.283889283,0.590974604,0.666648174,0.737402413,0.697963096,0.861603974,0.944444083,0.959886592,0.966445864,0.962897651,0.551478642,0.848367017,0.881341886,0.921717172,0.899733653
19,0,0.108320681,0.176946003,0.208965036,NaN,0.00078064,0.207416856,0.285771288,0.4073298,0.334722472,0.202185792,0.525765542,0.609869381,0.692345618,0.646092708,0.831381733,0.931614503,0.949420886,0.959036937,0.953805113,0.483302975,0.810688549,0.850610346,0.898124181,0.872109955
20,0,0.106762204,0.175276488,0.205515873,NaN,0,0.200462642,0.278237221,0.39781746,0.326529767,0.171428571,0.493785463,0.581915721,0.66984127,0.620360534,0.776190476,0.906175904,0.929093348,0.944047619,0.935855334,0.395619439,0.771316325,0.818307119,0.875770021,0.84423396
21,0,0.107092489,0.17646625,0.205429392,NaN,0,0.190890676,0.267159369,0.384233881,0.31438996,0.113547377,0.447748486,0.542404184,0.634597457,0.58277493,0.706342991,0.868399779,0.900239105,0.91911847,0.908830079,0.341540905,0.722232444,0.777772921,0.843753546,0.807436439
22,0,0.106652627,0.17641414,0.204325578,NaN,0,0.183256072,0.25923971,0.371152155,0.30447198,0.062445031,0.401677478,0.500464291,0.603262173,0.545208835,0.662269129,0.835040994,0.872893017,0.897297513,0.883943813,0.297984224,0.702094809,0.760402643,0.831089156,0.792031633
23,0,0.107423203,0.178308392,0.20476451,NaN,0,0.186328125,0.262395257,0.37581548,0.308317108,0.05517909,0.377666145,0.47700988,0.581968938,0.52243008,0.599225557,0.80363575,0.847990313,0.877730544,0.861389484,0.230243902,0.642051064,0.709831158,0.793382821,0.746981576
24,0,0.107713354,0.17946764,0.204526227,NaN,0,0.180469515,0.25600068,0.367428088,0.301154596,0.046700508,0.368070962,0.467195074,0.574450085,0.513566272,0.56142132,0.780855797,0.82949768,0.865313029,0.845667273,0.209733488,0.621757529,0.693019014,0.781286211,0.73207376
25,0,0.105451407,0.176307797,0.200166667,NaN,0,0.176409232,0.25108239,0.360458333,0.295335568,0.023958333,0.334023196,0.43427727,0.544791667,0.481815855,0.475,0.726258761,0.784801782,0.827833333,0.804283491,0.157824934,0.575674637,0.654477318,0.750822281,0.696962647
26,0,0.107309678,0.180224849,0.202396687,NaN,0,0.174021833,0.248800266,0.355141422,0.292027449,0.021764032,0.323390204,0.423111784,0.536126531,0.471551454,0.428407789,0.698132465,0.762640937,0.811437131,0.784621997,0.124463519,0.533288149,0.618235959,0.719819522,0.662732157
27,0,0.104828153,0.176524353,0.198412698,NaN,0,0.174733764,0.250022534,0.356950457,0.293506633,0.009090909,0.304400021,0.404696241,0.520875421,0.45436337,0.357142857,0.645181219,0.717949902,0.775757576,0.743806741,0.089655172,0.490956362,0.582294725,0.688569604,0.628849139
28,0,0.103969519,0.175893205,0.196640316,NaN,0,0.168043223,0.241557013,0.345802748,0.283963279,0.007905138,0.290433973,0.390416584,0.503717297,0.438865839,0.275362319,0.593862873,0.675457872,0.741671372,0.705010103,0.050373134,0.464100938,0.56020404,0.673907249,0.609862533
29,0,0.106108619,0.179994798,0.199228219,NaN,0,0.170140755,0.245049011,0.3477465,0.287054667,0.00143472,0.285228554,0.384300006,0.502349973,0.434536279,0.25107604,0.57969489,0.663614382,0.734477811,0.695174372,0.06372549,0.456932387,0.550594916,0.663286004,0.599770343
30,0,0.107101401,0.182013443,0.200758725,NaN,0,0.17321134,0.249831725,0.351745068,0.291667224,0.001517451,0.278472198,0.37821501,0.494233687,0.427709833,0.20030349,0.536666206,0.628561373,0.707738998,0.663859463,0.034739454,0.430751578,0.528985894,0.646484698,0.580079346
31,0,0.106754502,0.181524567,0.199556181,NaN,0,0.167705176,0.242897444,0.342985495,0.283911938,0.001677852,0.269560364,0.367724865,0.483979216,0.417193919,0.16442953,0.502811645,0.596562783,0.682723533,0.634719103,0.018348624,0.385724156,0.486830547,0.61063431,0.540376084
32,0,0.104467278,0.178132693,0.195599825,0.186272896,0,0.166924181,0.241758315,0.34150613,0.282689184,0,0.264344742,0.362047837,0.477616025,0.411186621,0.119089317,0.473133998,0.572160303,0.664076182,0.61278175,0.029801325,0.378810958,0.476867821,0.59571606,0.528236933
33,0,0.103402219,0.177530709,0.192792119,0.184670718,0,0.166328106,0.241997777,0.337885023,0.281576357,0,0.250837193,0.346230107,0.46090535,0.394887133,0.086419753,0.434691631,0.537990286,0.633682504,0.580259412,0,0.378919271,0.481536957,0.60915978,0.536666777
34,0,0.107445988,0.183575422,0.200299564,0.191406156,0,0.168699664,0.245811508,0.341979847,0.285579555,0,0.255383052,0.352530681,0.467660675,0.401460691,0.060185185,0.412452559,0.517052988,0.618736383,0.561707369,0.009009009,0.352060975,0.455009335,0.580551139,0.509153233
35,0,0.107102462,0.18397188,0.198238748,0.190692175,0,0.166796554,0.24348699,0.338617091,0.28294797,0,0.24833146,0.3443166,0.458577952,0.39286589,0.075342466,0.427739706,0.531182488,0.628049576,0.573892973,0.033492823,0.359667555,0.455958239,0.587559809,0.511872431
36,0,0.107112387,0.184703519,0.19795174,0.19092428,0,0.17088174,0.249446111,0.344626824,0.289012799,0,0.251250107,0.347888945,0.462261504,0.396540206,0.050505051,0.415095928,0.523539679,0.621843434,0.567110342,0.006024096,0.346467102,0.447564545,0.574464525,0.501995827
37,0,0.101884753,0.176268345,0.189423528,0.182466024,0,0.162877057,0.238607696,0.331510701,0.277113454,0,0.246115395,0.342226769,0.455710045,0.39044891,0.046242775,0.385305476,0.490450302,0.594672707,0.536105855,0,0.339890029,0.442909159,0.573676416,0.499067668
38,0,0.109286626,0.188592508,0.201278195,0.194543264,0,0.168971277,0.247509772,0.340300752,0.286248211,0,0.240598111,0.336359208,0.448195489,0.383934932,0.017142857,0.357005328,0.465337514,0.575864662,0.513676636,0,0.309688598,0.410533968,0.542058271,0.46647395
