ground_length, Instances, Time_taken, BLEU_Score, Exact_Matches, Feasible, Exact_Matches_Feasible_only, BLEU_Score_feasible_only
1, 8.0, 0.05, 1.0, 1.0, 1.0, 1.0, 1.0
2, 140.0, 0.05, 1.0, 1.0, 1.0, 1.0, 1.0
3, 304.0, 0.11, 0.98, 0.98, 0.98, 0.98, 0.98
4, 343.0, 0.21, 0.96, 0.96, 0.99, 0.96, 0.96
5, 388.0, 0.36, 0.92, 0.92, 0.98, 0.92, 0.92
6, 443.0, 0.57, 0.89, 0.88, 1.0, 0.88, 0.89
7, 414.0, 0.88, 0.88, 0.85, 1.0, 0.85, 0.88
8, 430.0, 1.28, 0.84, 0.78, 1.0, 0.78, 0.84
9, 422.0, 1.75, 0.81, 0.73, 0.99, 0.72, 0.81
10, 381.0, 2.63, 0.8, 0.65, 1.0, 0.65, 0.8
11, 375.0, 3.51, 0.75, 0.54, 0.99, 0.54, 0.74
12, 350.0, 5.14, 0.77, 0.54, 1.0, 0.54, 0.77
13, 285.0, 7.41, 0.71, 0.41, 1.0, 0.41, 0.71
14, 242.0, 10.51, 0.67, 0.35, 1.0, 0.34, 0.67
15, 242.0, 16.28, 0.65, 0.34, 1.0, 0.34, 0.65
16, 230.0, 22.01, 0.68, 0.33, 1.0, 0.33, 0.68
17, 187.0, 35.11, 0.66, 0.28, 1.0, 0.28, 0.66
18, 186.0, 54.11, 0.62, 0.19, 0.99, 0.19, 0.62
