"max_ground_len","brown_glove50_perfect","brown_glove50_jaccard","brown_glove50_precision","brown_glove50_recall","brown_glove50_f1","brown_glove100_perfect","brown_glove100_jaccard","brown_glove100_precision","brown_glove100_recall","brown_glove100_f1","brown_glove200_perfect","brown_glove200_jaccard","brown_glove200_precision","brown_glove200_recall","brown_glove200_f1","brown_glove300_perfect","brown_glove300_jaccard","brown_glove300_precision","brown_glove300_recall","brown_glove300_f1"
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9442270058708415,0.9489562948467059,0.9508643183300718,0.9530332681017613,0.989371699849828,0.99706457925636,0.9977168949771689,0.9977168949771689,0.9980430528375733,0.9998039215686274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.8125308337444499,0.8413266145135904,0.856115652970611,0.862687058049663,0.9191791060712836,0.9861864824864331,0.9892863015951323,0.9907909883242888,0.9909554349613551,0.9932363054024775,0.9980266403552047,0.9986186482486433,0.9990133201776024,0.9988488735405361,0.9989146521953626,1.0,1.0,1.0,1.0,1.0
4,0.6818939646548849,0.7387874037340525,0.7652365603349264,0.7803990218961876,0.8343594832764506,0.9696565521840613,0.9793480101832887,0.9825739532225027,0.9845504056907859,0.9853076370116131,0.9969989996665555,0.9980326775591863,0.998588418361676,0.9984717127931533,0.9985122024801918,1.0,1.0,1.0,1.0,1.0
5,0.5720174587778856,0.6510222547686175,0.6868255262896388,0.7082969608794051,0.7584942372319985,0.9403491755577109,0.9603232626571617,0.966683986882823,0.9714031684448755,0.9705047341709149,0.9934529582929195,0.99630896571367,0.9973373054362384,0.9973852247009377,0.9973338413930072,0.9990300678952473,0.9994457530829987,0.9996120271580988,0.9996120271580988,0.9996120271580988
6,0.46024492780113324,0.5573244311535516,0.6014633856161913,0.6294126606957898,0.6724802971889194,0.8943520380186437,0.9325560854465654,0.9434929958645916,0.9527021263632487,0.9490797360617583,0.9877536099433376,0.9934326554048724,0.9952394733559056,0.9955005178821665,0.9953275445689995,0.9967099250594041,0.9982722754610892,0.9988241028453055,0.9988241028453055,0.9988241028453055
7,0.374439786034408,0.4831700986063123,0.5330696037613776,0.5661334737740693,0.6009171582794035,0.842850946942316,0.9004845291526578,0.9164611796569293,0.9314862622799589,0.9242278556443132,0.9822177244470146,0.9909021540039322,0.9933230985999528,0.9939627694362406,0.9935874392016123,0.9955182882752639,0.9978142189360926,0.99853810831836,0.998553598105427,0.9985453368856579
8,0.30961357210179075,0.42489614480604837,0.4785743455398192,0.5153534682016068,0.5417697974556774,0.7788642789820923,0.8588367685116536,0.8810900942076069,0.9032711446972758,0.8917571815608987,0.9767907634307257,0.9887500678057937,0.9918575056475624,0.9926649948386518,0.9922003924760412,0.9935202639019792,0.9970968096203723,0.998104607064315,0.9981144248462815,0.9981083856728367
9,0.2618362282878412,0.38003761837975536,0.4359689265469444,0.4749918074756785,0.4957885038028813,0.7133498759305211,0.8149348482081664,0.8432885795909325,0.873214108472173,0.8572806304841305,0.9662531017369727,0.9841987333203944,0.9884845408244912,0.9899383985190435,0.9891235120676617,0.991166253101737,0.9964301218494765,0.9976962464059238,0.9977497341368308,0.997720848123325
10,0.2272844494111579,0.34686020713325155,0.40431895558609515,0.44508230553747613,0.4600517005528382,0.6496174675492135,0.772145518335324,0.8063970535794803,0.8443077574879346,0.8235326261556464,0.9534943694661738,0.9783718173980754,0.984013955780697,0.9863946845250035,0.9850702438550012,0.988309120605175,0.9955385393234616,0.9971271891713738,0.9972258722108288,0.9971734287994026
