Paper,Method,Submethod,Noun F1,Verb F1,Adjective F1,Adverb F1,Overall F1,MFS_backoff
this paper,Adagrams,with smoothing (including of prior),0.7969314079,0.7681895093,0.8077455048,0.8819277108,0.7989417989,F
,Greedy,,0.7818181818,0.7540425532,0.7791842475,0.8888888889,0.784,F
,Greedy,,0.7888086643,0.758037225,0.8011049724,0.8942307692,0.7924195681,T
,,,,,,,,
\cite{Navigli:2007:STC:1621474.1621480},MFS,,0.7744,0.753,0.8425,0.875,0.7889,Is MFS
,NUS-PT ,(best system in original challenge),0.8231,0.7851,0.8564,0.8942,0.825,T
,,,0,0,0,0,0,
\cite{Chen2014},L2R,,0.792,0,0,0,0.739,F
,S2C,,0.816,0,0,0,0.758,F
,L2R,,0.825,0,0,0,0.796,T
,S2C,,0.853,0,0,0,0.826,T
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,0,0,0,0,0,
