uncorrupt_phrase_line_num,corrupt_phrase_line_num
58,65
131,138
823,830
896,903
905,912
1042,1049
1055,1062
1123,1130
1737,1744
1781,1788
2094,2101
2413,2420
2422,2429
2546,2553
2556,2563
2988,2995
3448,3455
4398,4405
4407,4414
4554,4561
4669,4676
4774,4781
4791,4798
4863,4870
4874,4881
5495,5502
5623,5630
5737,5744
5874,5881
5883,5890
6194,6201
6203,6210
6578,6585
7072,7079
7080,7087
7156,7163
7201,7208
7571,7578
8153,8160
8163,8170
8559,8566
8569,8576
8667,8674
8715,8722
8723,8730
8745,8752
8776,8783
9243,9250
9623,9630
9771,9778
10048,10055
10070,10077
10125,10132
10230,10237
10264,10271
10896,10903
11200,11207
11323,11330
11617,11624
11776,11783
11912,11919
12092,12099
12198,12205
12346,12353
12866,12873
13313,13320
13322,13329
13449,13456
13457,13464
13630,13637
14869,14876
14877,14884
15007,15014
15016,15023
15225,15232
15233,15240
15338,15345
15346,15353
15389,15396
15531,15538
15870,15877
16172,16179
16308,16315
16468,16475
16477,16484
16900,16907
17236,17243
17251,17258
17259,17266
17449,17456
17500,17507
17508,17515
17735,17742
17785,17792
18021,18028
18065,18072
18074,18081
18231,18238
18240,18247
18306,18313
18577,18584
18762,18769
18976,18983
18984,18991
19541,19548
19598,19605
21015,21022
21200,21207
21517,21524
21733,21740
21911,21918
21960,21967
22142,22149
22349,22356
22487,22494
22497,22504
22583,22590
22592,22599
22614,22621
22622,22629
22861,22868
22869,22876
23030,23037
23079,23086
23358,23365
23367,23374
23470,23477
23479,23486
23494,23501
24028,24035
24446,24453
24948,24955
25083,25090
25091,25098
25349,25356
25357,25364
25482,25489
25490,25497
26190,26197
27318,27325
27326,27333
27412,27419
27420,27427
27541,27548
27549,27556
27653,27660
27854,27861
27862,27869
