uncorrupt_phrase_line_num,corrupt_phrase_line_num
115,121
122,129
166,171
172,180
218,222
238,245
246,255
271,275
298,304
353,360
361,369
396,401
403,408
465,471
473,478
488,497
498,506
513,521
606,616
617,626
710,721
778,782
784,788
814,820
897,903
948,957
959,966
967,975
1078,1090
1091,1100
1121,1128
1129,1136
1138,1145
1152,1155
1156,1158
1159,1169
1170,1179
1203,1209
1221,1228
1230,1235
1242,1247
1285,1291
1292,1299
1304,1308
1330,1338
1340,1348
1358,1363
1364,1368
1470,1479
1480,1488
1500,1508
1510,1518
1574,1578
1583,1587
1588,1592
1607,1611
1617,1621
1622,1626
1674,1683
1686,1696
1700,1705
1708,1713
1723,1727
1731,1734
1781,1789
1791,1801
1809,1816
1817,1823
1824,1833
1834,1842
1843,1849
1850,1856
1876,1882
1883,1888
1889,1895
1896,1902
1921,1930
1950,1955
1957,1963
1994,1999
2046,2050
2051,2057
2059,2065
2066,2071
2082,2090
2091,2099
2110,2114
2116,2121
2131,2138
2139,2146
2157,2161
2162,2166
2186,2192
2228,2235
2308,2314
2315,2321
2322,2327
2355,2361
2362,2368
2369,2374
2375,2379
2385,2390
2494,2502
2503,2509
2510,2515
2516,2522
2541,2552
2553,2560
2583,2589
2590,2597
2598,2603
2604,2611
2620,2627
2633,2637
2639,2643
2665,2674
2677,2685
2706,2710
2711,2719
2720,2726
2727,2734
2739,2742
2744,2747
2748,2753
2760,2767
2768,2773
2774,2783
2785,2793
2795,2803
2804,2810
2837,2841
2843,2847
2924,2930
2994,2998
3087,3091
3094,3099
3101,3105
3106,3114
3115,3125
3135,3138
3139,3142
3174,3181
3183,3190
3200,3209
3210,3216
3218,3225
3291,3296
3297,3302
3345,3352
3398,3405
3406,3411
3412,3417
3418,3425
3427,3434
3435,3439
3473,3477
3479,3482
3510,3515
3558,3560
3564,3569
3636,3641
3652,3659
3660,3667
3708,3712
3713,3718
3771,3778
3779,3786
3817,3823
3825,3832
3857,3862
3955,3962
3972,3981
4014,4023
4055,4064
4067,4076
4090,4095
4096,4102
4152,4156
4157,4160
4172,4177
4178,4182
4192,4198
4199,4202
4212,4216
4238,4247
4263,4267
4306,4312
4314,4321
4324,4329
4330,4335
4346,4355
4372,4378
4423,4430
4431,4436
4456,4464
4465,4472
4500,4504
4506,4509
4516,4523
4524,4531
4532,4539
4600,4608
4609,4618
4668,4674
4788,4794
4804,4811
4812,4819
4836,4846
4847,4855
4857,4865
4866,4874
4898,4902
4915,4922
4923,4929
4967,4973
4984,4990
4991,4997
5009,5015
5016,5021
5030,5036
5043,5049
5090,5095
5096,5103
5113,5117
5118,5123
5144,5151
5153,5159
5263,5268
5269,5277
5287,5297
5298,5307
5342,5354
5435,5441
5456,5464
5465,5475
5578,5585
5587,5594
5620,5629
5630,5637
5681,5687
5690,5696
5699,5704
5705,5710
5751,5757
5758,5763
5772,5778
5779,5785
5810,5816
5817,5822
5831,5834
5835,5840
5880,5885
5886,5890
5923,5928
5930,5934
5974,5984
5985,5995
5997,6003
6038,6043
6044,6051
6133,6140
6142,6147
6154,6159
6160,6165
6220,6229
6230,6239
6307,6314
6316,6325
6359,6363
6364,6368
6467,6473
6475,6481
