phrase_line_number,microsoft_id
1,1089874
6,1089925
7,3019446
16,3019327
23,1945605
29,1945824
32,1390995
38,1391183
44,2453843
50,2453998
56,1756630
61,1756502
65,2357153
72,2357114
80,2760337
86,2760373
93,3447768
100,3447857
107,1756397
112,1756332
118,501917
122,501968
127,356718
132,356778
138,1083541
141,1083857
143,1090263
147,1090673
151,666617
158,666675
161,2299642
163,2299604
165,2878218
171,2878204
176,1758014
183,1758028
191,3018662
194,3018965
198,2444603
202,2444722
207,356716
213,356884
221,2535248
226,2535076
231,1811569
234,1811633
237,956105
240,956277
244,197693
249,197750
258,2191765
263,2192036
269,2455974
273,2455938
276,198581
280,198842
285,69590
289,69792
293,2226059
300,2226265
306,2320049
312,2320007
319,1908431
321,1908277
325,2375809
327,2375778
332,3298856
333,3298813
336,3052031
338,3052077
341,546923
345,546915
349,1853823
353,1853477
356,3417894
359,3417817
363,1618799
368,1619119
373,842299
383,842482
389,2795276
393,2795258
397,1596213
402,1596237
406,420631
409,420719
413,2597390
421,2597503
428,2152575
432,2152598
434,1704383
441,1704087
450,1587838
458,1587560
463,3099593
468,3099626
473,459714
476,459611
479,2636620
483,2636688
487,172379
493,172538
497,389027
501,388939
504,276515
506,276501
510,1617861
514,1617809
518,1398956
527,1398777
535,1401946
539,1401697
542,98645
546,98414
550,3113657
557,3113590
563,1081112
565,1081199
568,1246493
574,1246786
580,228991
584,229263
588,459228
589,458802
590,479412
591,479618
593,1796642
595,1796689
597,3099578
600,3099683
606,2632867
616,2632821
625,1552072
632,1551932
641,315656
646,315787
651,1831381
654,1831491
660,864267
664,864579
668,3119490
671,3119464
674,1378004
677,1378107
681,266876
686,266783
690,1958143
693,1958023
698,1626524
702,1626556
706,1694560
708,1694514
713,1945483
718,1945409
720,2689148
725,2689306
731,2636303
737,2636440
742,361266
746,361184
752,2359452
756,2359376
763,203291
768,203344
773,2792884
780,2792738
787,629417
793,628975
799,3364032
803,3364117
808,1676486
812,1676574
820,2313560
826,2313548
833,2375777
840,2375808
845,2815705
848,2815885
850,396175
853,396035
856,3046537
860,3046639
864,2020349
868,2020588
870,2196877
872,2196798
877,3422853
880,3422916
882,1761421
888,1761551
892,2609667
898,2609889
904,1596087
909,1596024
913,274229
915,274136
917,774520
920,774298
924,2968215
935,2968166
943,2532424
950,2532313
959,2384731
965,2384653
971,816341
977,816360
982,855331
984,855107
985,2425559
994,2425606
1002,716894
1003,716603
1005,1089463
1011,1089519
1017,3256383
1021,3256410
1026,715320
1028,715197
1030,833153
1033,833193
1036,1408377
1042,1408706
1046,3073750
1051,3073779
1055,1611763
1058,1611723
1061,3265736
1068,3265630
1073,1819056
1080,1819124
1088,1510296
1093,1510225
1099,345963
1102,345901
1105,881153
1110,881309
1115,2224082
1119,2223823
1126,1630597
1133,1630669
1140,2678860
1143,2678895
1147,2482005
1151,2481972
1154,2759792
1160,2759807
1164,1789073
1168,1788780
1171,2216664
1178,2216689
1185,1730650
1187,1730772
1193,1462786
1203,1463120
1210,1921865
1218,1921879
1225,2195721
1232,2195937
1238,2011656
1243,2011796
1249,2384647
1257,2384724
1264,3334681
1269,3334887
1274,1571035
1281,1571099
1288,607096
1293,607222
1298,2749203
1302,2749190
1306,423227
1314,423244
1320,2702505
1323,2702695
1326,1050718
1333,1050632
1338,2924620
1341,2925014
1344,209615
1347,209601
1350,232432
1355,232716
1360,2670301
1363,2670231
1366,399715
1369,399588
1371,731753
1374,731593
1377,1705093
1381,1704989
1385,451540
1392,451590
1400,3314564
1408,3314185
1416,804259
1418,804115
1421,2939979
1429,2939941
1438,379579
1439,379458
1440,481929
1444,481981
1448,2787375
1453,2787404
1457,3125018
1460,3124927
1462,2025802
1466,2025681
1470,2357216
1475,2357196
1481,3190817
1483,3190834
1485,1653584
1488,1653844
1491,1809432
1496,1809422
1502,826466
1509,826607
1518,2876861
1521,2876951
1524,3372291
1530,3372332
1535,1369754
1543,1369906
1550,881734
1555,882010
1560,1413741
1562,1413711
1563,3159653
1569,3159764
1574,1784474
1579,1784513
1583,770328
1588,770414
1593,1134743
1598,1134948
1603,2173497
1611,2173632
1619,1090499
1623,1090289
1628,2228840
1632,2228717
1635,2132227
1639,2132275
1644,390511
1647,390658
1651,2222267
1654,2222353
1656,3085916
1661,3085789
1665,1907709
1668,1907769
1672,2536332
1676,2536313
1679,1707805
1688,1707851
1698,2980398
1704,2980147
1710,1134101
1711,1133958
1712,3353902
1715,3353811
1720,2332632
1725,2333026
1729,3254081
1733,3254131
1737,1268485
1744,1268448
1751,2173289
1756,2173179
1759,2724265
1762,2724346
1766,781404
1770,781423
1773,2906103
1779,2906321
1785,2550244
1789,2550413
1793,612172
1796,612073
1799,3287079
1802,3287709
1805,3351573
1807,3351167
1813,2818485
1817,2818521
1822,422580
1825,422428
1829,3313504
1831,3313769
1834,2321397
1841,2321451
1845,172945
1849,172742
1853,2472825
1859,2472863
1865,1953291
1868,1953412
1871,2679022
1879,2679221
1887,2484349
1895,2484160
1902,1501925
1905,1502094
1909,813244
1913,813532
1919,2749311
1922,2749444
1924,3102010
1929,3102052
1934,1864807
1938,1864926
1944,2795949
1949,2795974
1953,636412
1956,636322
1960,1163497
1965,1163395
1970,276404
1974,276122
1977,666238
1981,666192
1985,960861
1991,960916
1997,2083437
2005,2083550
2013,342605
2018,342611
2023,2030918
2026,2030878
2029,3267232
2033,3267338
2037,1694591
2040,1694663
2044,3304690
2049,3304606
2055,2553132
2059,2553328
2063,1322386
2068,1322404
2073,3326118
2076,3325997
2078,1625195
2085,1625499
2090,1830745
2094,1831002
2099,851678
2102,851911
2105,54823
2109,55177
2113,1987428
2123,1987385
2129,711871
2135,711923
2142,1443641
2147,1443672
2150,2221841
2155,2221884
2161,2830817
2165,2830766
2171,2060262
2174,2060225
2177,3185726
2183,3185754
2187,2893299
2190,2893356
2193,3251501
2200,3251262
2205,2636300
2210,2636438
2213,488404
2221,488310
2228,2458335
2234,2458449
2239,1702735
2243,1702711
2246,1394508
2253,1394489
2258,2493378
2264,2493420
2267,645180
2269,645536
2271,1953409
2275,1953285
2280,1643243
2286,1643049
2290,3384269
2298,3383800
2305,713992
2312,713965
2317,2425362
2322,2425341
2326,1201425
2330,1201329
2333,3436639
2337,3436708
2340,1044270
2343,1044301
2346,1151084
2351,1151062
2355,2885844
2360,2885779
2363,3014157
2368,3014190
2375,512322
2377,511968
2380,618359
2382,617945
2385,126662
2390,126748
2396,1908352
2403,1908458
2409,2375776
2414,2375807
2419,269089
2424,268884
2430,2537987
2434,2538021
2436,2980690
2441,2980538
2447,1027143
2452,1027507
2457,261718
2461,261828
2465,2776609
2472,2776659
2478,261957
2479,261729
2482,925534
2486,925489
2489,1478533
2498,1478601
2506,725698
2509,725404
2512,243700
2514,243946
2518,1240372
2523,1240326
2527,1983012
2531,1983180
2534,1088209
2539,1088238
2545,1703443
2548,1703477
2551,941626
2556,941679
2561,3085927
2563,3085530
2564,2746528
2567,2746712
2569,3450953
2573,3450981
2576,2902707
2583,2902760
2592,1813375
2596,1813388
2600,2971556
2602,2971759
2604,3119302
2608,3119544
2611,981815
2615,981922
2619,1496052
2625,1496255
2631,1912529
2637,1912650
2643,3313165
2651,3313141
2659,2122040
2664,2121820
2670,3385867
2675,3385835
2683,1657140
2686,1657002
2690,318215
2695,318353
2700,2473394
2703,2473357
2705,1258288
2715,1258190
2723,742244
2727,742119
2730,3085148
2734,3085019
2738,432116
2742,432164
2747,1518074
2750,1518108
2753,1284177
2759,1284077
2766,1591389
2770,1591595
2774,600786
2780,600523
2787,1245561
2791,1245666
2795,2734483
2799,2734397
2804,3289732
2809,3289629
2814,3306149
2821,3306053
2827,3354775
2831,3354759
2835,1111786
2841,1111709
2847,806505
2850,806865
2851,1479862
2855,1479870
2859,2071990
2862,2072141
2865,1970415
2870,1970732
2875,2928566
2878,2928606
2879,1092090
2882,1091918
2884,1240213
2892,1240330
2899,2720187
2903,2720172
2906,3259695
2910,3259744
2913,692176
2919,692246
2926,654702
2931,654683
2937,2725718
2940,2725646
2943,240075
2946,240044
2948,2124302
2949,2124451
2951,229259
2955,228827
2959,1171535
2965,1171893
2970,1201093
2977,1201040
2984,545928
2987,545817
2989,3128200
2991,3128160
2995,1554315
2999,1554352
3003,1196117
3007,1196011
3011,842171
3015,842236
3018,1629901
3024,1629398
3030,2588886
3036,2588780
3041,769049
3045,769025
3049,1550877
3054,1550897
3061,1977046
3067,1977184
3071,644153
3074,643714
3078,173736
3082,173905
3087,209859
3090,209757
3092,2158247
3095,2158067
3098,1459781
3101,1459802
3104,2905479
3107,2905361
3110,3447773
3113,3447850
3116,1348907
3120,1348952
3124,703823
3130,703995
3136,1075005
3143,1075021
3149,1849873
3156,1849903
3163,986840
3168,986695
3174,3230905
3181,3231041
3188,2906716
3194,2906796
3198,2891359
3206,2891275
3214,131134
3220,131308
3227,212622
3228,212672
3231,1720973
3238,1721003
3244,2989427
3248,2989456
3253,388576
3258,388649
3263,562108
3268,561820
3271,1223198
3279,1223139
3285,2208440
3294,2208642
3302,36547
3307,36623
3312,345699
3316,345719
3319,1010013
3325,1010046
3330,2493925
3338,2493892
3344,1661881
3349,1662136
3356,1879236
3361,1879339
3365,2467992
3373,2467952
3381,3014177
3387,3014143
3392,1567595
3396,1567650
3401,1243432
3408,1243445
3415,2370245
3421,2370426
3427,3331545
3431,3331648
3435,1929176
3438,1929167
3439,599678
3442,599554
3444,1737548
3447,1737488
3449,2095818
3455,2095799
3459,2484044
3463,2483683
3466,1439347
3469,1439293
3473,1958452
3478,1958519
3480,2178827
3484,2178795
3489,1280917
3492,1281225
3496,3001423
3500,3001446
3505,1146295
3510,1146253
3518,2414342
3527,2414213
3532,663480
3535,663544
3538,460144
3547,460211
3555,1809293
3561,1809194
3568,3131671
3573,3131687
3579,347483
3583,347458
3587,2827192
3591,2827205
3595,2486728
3603,2486654
3610,684938
3613,684972
3617,1091178
3622,1091235
3629,2085113
3634,2085096
3638,1739449
3641,1739474
3645,2559956
3652,2559939
3660,2123347
3666,2123494
3670,2108887
3679,2108868
3688,1967671
3695,1967592
3701,1044800
3704,1044829
3707,1716178
3713,1716087
3718,2009590
3721,2009633
3725,573366
3728,573506
3730,500945
3735,500912
3741,1074997
3747,1075018
3753,544329
3757,544220
3762,1702219
3766,1702411
3770,3319119
3773,3319133
3776,1260943
3780,1261266
3784,2788889
3789,2788678
3793,1596214
3800,1596238
3807,2553134
3814,2553332
3822,1075397
3826,1075758
3829,3100597
3835,3100573
3841,53672
3843,53604
3845,2673112
3849,2673141
3853,1107385
3859,1107297
3866,3414486
3869,3414521
3874,1559172
3880,1559081
3887,2214085
3893,2214019
3899,327365
3903,327455
3907,863191
3909,863225
3912,3068989
3916,3068932
3919,2202632
3927,2202780
3935,3046212
3939,3046273
3943,246694
3947,246679
3951,1485635
3955,1485610
3959,1342925
3962,1343185
3966,283697
3971,283287
3976,2521741
3981,2521730
3990,69795
3996,69776
4002,2706235
4009,2706274
4016,1605338
4025,1605488
4032,3042078
4039,3042062
4046,2179041
4051,2179199
4054,516813
4055,516884
4056,2152533
4059,2152746
4062,2011657
4064,2011797
4067,556825
4072,556733
4077,2493883
4083,2493851
4088,1516698
4092,1516745
4095,2249306
4100,2249238
4104,660856
4112,660825
4122,2362684
4127,2362743
4136,243948
4141,243899
4146,758196
4151,758501
4155,303962
4160,304113
4164,1924385
4167,1924800
4170,638873
4175,638787
4181,1338202
4186,1338220
4192,782729
4196,782569
4201,1655566
4207,1655531
4213,75618
4218,75659
4225,2367272
4229,2367026
4235,784495
4239,784141
4243,1500312
4246,1500289
4250,1890014
4255,1889885
4261,1318419
4264,1318680
4268,2257896
4274,2257711
4279,1907420
4284,1907308
4288,748620
4295,748510
4302,1268446
4308,1268498
4312,2405094
4317,2405072
4323,2716543
4328,2716503
4332,3056744
4336,3056769
4339,2404779
4342,2404819
4345,2228916
4349,2228956
4354,401945
4356,402086
4360,62786
4365,62543
4368,1457976
4372,1457907
4379,1856960
4384,1856922
4388,2877244
4397,2877197
4405,2202636
4411,2202785
4417,1104700
4422,1104715
4426,2002876
4437,2003052
4448,1433591
4450,1433431
4455,2946635
4462,2946618
4469,3270328
4472,3270370
4475,2889933
4480,2889907
4487,1921451
4493,1921407
4498,1922104
4501,1922156
4503,2155055
4511,2154890
4519,2475829
4522,2475764
4527,2421566
4531,2421460
4534,938119
4537,938256
4540,1748344
4547,1748330
4556,1474151
4560,1474190
4563,113468
4566,113404
4569,655501
4579,655394
4588,2067814
4591,2067786
4595,1277464
4597,1277496
4600,1288358
4606,1288601
4614,1283865
4621,1284077
4628,100420
4632,100323
4635,784087
4639,784153
4643,134211
4650,134172
4655,1274113
4661,1274208
4667,3207359
4674,3207332
4682,3010054
4684,3010313
4687,2625130
4695,2625015
4701,921297
4707,921226
4713,258305
4714,258189
4716,84730
4721,84604
4726,941673
4733,941978
4738,356813
4743,356946
4748,684556
4752,684842
4756,1733146
4760,1733209
4762,2984179
4765,2984223
4768,2019201
4777,2019242
4783,2733800
4787,2733811
4790,1101775
4795,1101764
4799,229245
4802,228845
4805,2995466
4810,2995518
4815,2228735
4821,2228855
4828,1260001
4832,1259905
4835,1756545
4840,1756619
4844,671146
4848,670997
4852,3207968
4854,3208048
4858,2237209
4862,2237181
4865,1569217
4869,1569131
4872,3159669
4877,3159725
4886,2467171
4888,2467246
4890,3121942
4894,3121918
4897,1803903
4901,1803956
4905,271886
4908,271879
4911,801575
4915,801692
4919,2964174
4923,2964202
4927,1822303
4931,1822336
4934,2029881
4938,2029811
4943,2264152
4949,2264194
4956,3261182
4963,3261122
4970,818465
4979,818357
4988,378293
4993,378333
4999,629307
5003,628981
5007,3082461
5014,3082374
5021,387804
5025,388215
5031,1269483
5034,1269432
5036,3326097
5041,3326180
5048,68094
5051,68260
5053,3434277
5056,3434340
5059,2594744
5063,2594823
5066,3386410
5074,3386438
5083,1904049
5085,1904263
5086,1697702
5091,1697836
5096,2878348
5100,2878422
5104,1353348
5110,1353192
5114,2689642
