phrase_line_number,microsoft_id
1,1089874
5,1089925
6,3019446
13,3019327
17,1945605
20,1945824
22,1390995
26,1391183
30,2453843
34,2453998
38,1756630
41,1756502
45,2357153
48,2357114
51,2760337
58,2760373
66,3447768
68,3447857
72,1756397
76,1756332
80,501917
82,501968
87,356718
90,356778
94,1083541
96,1083857
98,1090263
103,1090673
109,666617
112,666675
114,2299642
117,2299604
120,2878218
124,2878204
127,1758014
131,1758028
139,3018662
144,3018965
147,2444603
149,2444722
150,356716
155,356884
161,2535248
168,2535076
174,1811569
176,1811633
181,956105
185,956277
189,197693
191,197750
194,2191765
198,2192036
201,2455974
202,2455938
203,198581
207,198842
211,69590
214,69792
216,2226059
220,2226265
225,2320049
231,2320007
237,1908431
240,1908277
243,2375809
245,2375778
248,3298856
250,3298813
252,3052031
255,3052077
258,546923
264,546915
268,1853823
272,1853477
277,3417894
280,3417817
283,1618799
285,1619119
287,842299
293,842482
297,2795276
299,2795258
301,1596213
308,1596237
315,420631
318,420719
321,2597390
327,2597503
333,2152575
336,2152598
339,1704383
346,1704087
353,1587838
355,1587560
357,3099593
362,3099626
367,459714
370,459611
372,2636620
376,2636688
379,172379
383,172538
387,389027
389,388939
391,276515
394,276501
397,1617861
400,1617809
404,1398956
407,1398777
410,1401946
412,1401697
415,98645
420,98414
424,3113657
426,3113590
427,1081112
430,1081199
433,1246493
439,1246786
444,228991
447,229263
449,459228
452,458802
455,479412
456,479618
458,1796642
459,1796689
461,3099578
464,3099683
468,2632867
474,2632821
479,1552072
481,1551932
483,315656
488,315787
491,1831381
492,1831491
495,864267
497,864579
499,3119490
505,3119464
512,1378004
514,1378107
516,266876
519,266783
521,1958143
525,1958023
530,1626524
532,1626556
534,1694560
537,1694514
541,1945483
545,1945409
549,2689148
552,2689306
556,2636303
559,2636440
562,361266
564,361184
566,2359452
567,2359376
569,203291
572,203344
576,2792884
578,2792738
580,629417
583,628975
586,3364032
589,3364117
592,1676486
596,1676574
601,2313560
607,2313548
613,2375777
616,2375808
619,2815705
621,2815885
623,396175
625,396035
626,3046537
629,3046639
630,2020349
631,2020588
632,2196877
635,2196798
639,3422853
642,3422916
644,1761421
646,1761551
648,2609667
652,2609889
657,1596087
660,1596024
661,274229
662,274136
663,774520
665,774298
666,2968215
672,2968166
679,2532424
684,2532313
689,2384731
695,2384653
702,816341
707,816360
712,855331
717,855107
721,2425559
726,2425606
730,716894
732,716603
734,1089463
736,1089519
738,3256383
744,3256410
750,715320
753,715197
756,833153
757,833193
759,1408377
764,1408706
769,3073750
771,3073779
775,1611763
777,1611723
779,3265736
782,3265630
785,1819056
789,1819124
793,1510296
799,1510225
806,345963
810,345901
815,881153
818,881309
821,2224082
822,2223823
823,1630597
832,1630669
839,2678860
841,2678895
843,2482005
847,2481972
850,2759792
857,2759807
863,1789073
864,1788780
866,2216664
873,2216689
878,1730650
880,1730772
883,1462786
887,1463120
889,1921865
892,1921879
896,2195721
905,2195937
915,2011656
920,2011796
925,2384647
929,2384724
933,3334681
936,3334887
940,1571035
946,1571099
952,607096
955,607222
957,2749203
960,2749190
964,423227
968,423244
971,2702505
974,2702695
977,1050718
980,1050632
982,2924620
985,2925014
987,209615
993,209601
999,232432
1000,232716
1001,2670301
1004,2670231
1009,399715
1011,399588
1013,731753
1016,731593
1019,1705093
1021,1704989
1023,451540
1025,451590
1027,3314564
1029,3314185
1032,804259
1033,804115
1035,2939979
1042,2939941
1050,379579
1053,379458
1055,481929
1065,481981
1072,2787375
1075,2787404
1077,3125018
1084,3124927
1091,2025802
1093,2025681
1095,2357216
1098,2357196
1102,3190817
1106,3190834
1109,1653584
1111,1653844
1113,1809432
1114,1809422
1116,826466
1123,826607
1131,2876861
1133,2876951
1134,3372291
1137,3372332
1141,1369754
1148,1369906
1155,881734
1161,882010
1168,1413741
1170,1413711
1172,3159653
1176,3159764
1180,1784474
1187,1784513
1193,770328
1196,770414
1199,1134743
1201,1134948
1203,2173497
1209,2173632
1216,1090499
1219,1090289
1222,2228840
1225,2228717
1228,2132227
1234,2132275
1241,390511
1245,390658
1248,2222267
1251,2222353
1255,3085916
1257,3085789
1258,1907709
1260,1907769
1264,2536332
1268,2536313
1271,1707805
1275,1707851
1279,2980398
1284,2980147
1289,1134101
1292,1133958
1296,3353902
1301,3353811
1306,2332632
1309,2333026
1312,3254081
1316,3254131
1320,1268485
1326,1268448
1332,2173289
1335,2173179
1338,2724265
1343,2724346
1348,781404
1351,781423
1356,2906103
1361,2906321
1365,2550244
1370,2550413
1374,612172
1377,612073
1381,3287079
1383,3287709
1384,3351573
1387,3351167
1390,2818485
1392,2818521
1396,422580
1397,422428
1399,3313504
1401,3313769
1402,2321397
1406,2321451
1409,172945
1413,172742
1417,2472825
1420,2472863
1422,1953291
1427,1953412
1432,2679022
1435,2679221
1437,2484349
1442,2484160
1446,1501925
1450,1502094
1453,813244
1457,813532
1461,2749311
1463,2749444
1465,3102010
1469,3102052
1475,1864807
1479,1864926
1482,2795949
1485,2795974
1488,636412
1492,636322
1497,1163497
1503,1163395
1509,276404
1512,276122
1515,666238
1520,666192
1526,960861
1531,960916
1537,2083437
1541,2083550
1544,342605
1547,342611
1551,2030918
1557,2030878
1561,3267232
1563,3267338
1565,1694591
1567,1694663
1569,3304690
1570,3304606
1571,2553132
1575,2553328
1580,1322386
1584,1322404
1587,3326118
1588,3325997
1590,1625195
1594,1625499
1597,1830745
1600,1831002
1604,851678
1608,851911
1611,54823
1615,55177
1619,1987428
1624,1987385
1629,711871
1633,711923
1637,1443641
1641,1443672
1644,2221841
1648,2221884
1653,2830817
1657,2830766
1661,2060262
1663,2060225
1667,3185726
1672,3185754
1677,2893299
1683,2893356
1687,3251501
1688,3251262
1689,2636300
1693,2636438
1696,488404
1703,488310
1710,2458335
1714,2458449
1716,1702735
1721,1702711
1726,1394508
1731,1394489
1737,2493378
1745,2493420
1750,645180
1755,645536
1760,1953409
1763,1953285
1765,1643243
1770,1643049
1774,3384269
1781,3383800
1789,713992
1795,713965
1799,2425362
1803,2425341
1805,1201425
1807,1201329
1809,3436639
1814,3436708
1818,1044270
1824,1044301
1828,1151084
1831,1151062
1833,2885844
1835,2885779
1837,3014157
1842,3014190
1846,512322
1847,511968
1848,618359
1850,617945
1853,126662
1854,126748
1856,1908352
1860,1908458
1863,2375776
1867,2375807
1872,269089
1874,268884
1876,2537987
1878,2538021
1880,2980690
1883,2980538
1888,1027143
1891,1027507
1894,261718
1899,261828
1903,2776609
1906,2776659
1909,261957
1911,261729
1915,925534
1919,925489
1921,1478533
1925,1478601
1929,725698
1931,725404
1933,243700
1935,243946
1937,1240372
1942,1240326
1945,1983012
1946,1983180
1947,1088209
1948,1088238
1949,1703443
1951,1703477
1953,941626
1956,941679
1960,3085927
1961,3085530
1962,2746528
1965,2746712
1966,3450953
1973,3450981
1978,2902707
1982,2902760
1985,1813375
1988,1813388
1992,2971556
1995,2971759
1999,3119302
2001,3119544
2002,981815
2005,981922
2009,1496052
2015,1496255
2021,1912529
2025,1912650
2028,3313165
2034,3313141
2041,2122040
2048,2121820
2053,3385867
2054,3385835
2055,1657140
2058,1657002
2061,318215
2065,318353
2069,2473394
2070,2473357
2071,1258288
2075,1258190
2081,742244
2084,742119
2087,3085148
2094,3085019
2102,432116
2105,432164
2109,1518074
2112,1518108
2114,1284177
2116,1284077
2119,1591389
2122,1591595
2125,600786
2129,600523
2132,1245561
2136,1245666
2140,2734483
2143,2734397
2145,3289732
2147,3289629
2149,3306149
2151,3306053
2154,3354775
2159,3354759
2163,1111786
2168,1111709
2172,806505
2177,806865
2180,1479862
2184,1479870
2188,2071990
2192,2072141
2193,1970415
2196,1970732
2197,2928566
2198,2928606
2199,1092090
2204,1091918
2210,1240213
2213,1240330
2217,2720187
2220,2720172
2223,3259695
2229,3259744
2235,692176
2240,692246
2244,654702
2250,654683
2253,2725718
2257,2725646
2259,240075
2260,240044
2261,2124302
2264,2124451
2269,229259
2273,228827
2278,1171535
2280,1171893
2282,1201093
2286,1201040
2289,545928
2293,545817
2297,3128200
2300,3128160
2303,1554315
2305,1554352
2308,1196117
2312,1196011
2316,842171
2320,842236
2323,1629901
2326,1629398
2331,2588886
2335,2588780
2337,769049
2339,769025
2341,1550877
2346,1550897
2349,1977046
2353,1977184
2357,644153
2361,643714
2365,173736
2368,173905
2371,209859
2372,209757
2374,2158247
2376,2158067
2378,1459781
2380,1459802
2383,2905479
2384,2905361
2385,3447773
2388,3447850
2391,1348907
2394,1348952
2398,703823
2401,703995
2405,1075005
2406,1075021
2407,1849873
2410,1849903
2413,986840
2422,986695
2431,3230905
2435,3231041
2438,2906716
2440,2906796
2444,2891359
2446,2891275
2447,131134
2452,131308
2456,212622
2458,212672
2460,1720973
2462,1721003
2464,2989427
2468,2989456
2472,388576
2474,388649
2476,562108
2478,561820
2480,1223198
2484,1223139
2489,2208440
2492,2208642
2498,36547
2502,36623
2509,345699
2512,345719
2515,1010013
2518,1010046
2519,2493925
2525,2493892
2529,1661881
2532,1662136
2536,1879236
2541,1879339
2546,2467992
2556,2467952
2566,3014177
2573,3014143
2578,1567595
2583,1567650
2588,1243432
2592,1243445
2597,2370245
2600,2370426
2604,3331545
2605,3331648
2608,1929176
2609,1929167
2610,599678
2613,599554
2616,1737548
2619,1737488
2622,2095818
2625,2095799
2627,2484044
2630,2483683
2633,1439347
2638,1439293
2641,1958452
2646,1958519
2649,2178827
2652,2178795
2655,1280917
2659,1281225
2661,3001423
2662,3001446
2663,1146295
2668,1146253
2674,2414342
2678,2414213
2684,663480
2689,663544
2692,460144
2697,460211
2700,1809293
2703,1809194
2707,3131671
2712,3131687
2719,347483
2723,347458
2727,2827192
2730,2827205
2733,2486728
2738,2486654
2742,684938
2745,684972
2747,1091178
2751,1091235
2753,2085113
2755,2085096
2758,1739449
2759,1739474
2762,2559956
2765,2559939
2768,2123347
2771,2123494
2775,2108887
2779,2108868
2782,1967671
2786,1967592
2791,1044800
2793,1044829
2795,1716178
2800,1716087
2805,2009590
2806,2009633
2807,573366
2812,573506
2815,500945
2820,500912
2826,1074997
2829,1075018
2832,544329
2836,544220
2838,1702219
2839,1702411
2840,3319119
2842,3319133
2845,1260943
2848,1261266
2850,2788889
2854,2788678
2857,1596214
2859,1596238
2861,2553134
2865,2553332
2869,1075397
2871,1075758
2872,3100597
2873,3100573
2874,53672
2879,53604
2884,2673112
2886,2673141
2890,1107385
2893,1107297
2896,3414486
2899,3414521
2903,1559172
2904,1559081
2905,2214085
2910,2214019
2915,327365
2920,327455
2925,863191
2931,863225
2936,3068989
2938,3068932
2939,2202632
2943,2202780
2946,3046212
2948,3046273
2950,246694
2953,246679
2957,1485635
2959,1485610
2962,1342925
2964,1343185
2967,283697
2970,283287
2973,2521741
2978,2521730
2981,69795
2988,69776
2997,2706235
3000,2706274
3004,1605338
3009,1605488
3016,3042078
3021,3042062
3027,2179041
3030,2179199
3032,516813
3034,516884
3036,2152533
3038,2152746
3041,2011657
3043,2011797
3046,556825
3048,556733
3051,2493883
3056,2493851
3061,1516698
3062,1516745
3064,2249306
3068,2249238
3072,660856
3075,660825
3078,2362684
3084,2362743
3088,243948
3093,243899
3098,758196
3100,758501
3102,303962
3107,304113
3112,1924385
3114,1924800
3116,638873
3120,638787
3123,1338202
3127,1338220
3130,782729
3133,782569
3137,1655566
3140,1655531
3142,75618
3147,75659
3153,2367272
3157,2367026
3163,784495
3166,784141
3169,1500312
3172,1500289
3176,1890014
3180,1889885
3184,1318419
3186,1318680
3188,2257896
3192,2257711
3197,1907420
3200,1907308
3203,748620
3207,748510
3212,1268446
3215,1268498
3217,2405094
3220,2405072
3224,2716543
3225,2716503
3226,3056744
3229,3056769
3231,2404779
3232,2404819
3233,2228916
3237,2228956
3242,401945
3244,402086
3247,62786
3251,62543
3255,1457976
3259,1457907
3263,1856960
3265,1856922
3267,2877244
3272,2877197
3277,2202636
3279,2202785
3280,1104700
3282,1104715
3285,2002876
3288,2003052
3292,1433591
3294,1433431
3298,2946635
3302,2946618
3306,3270328
3308,3270370
3311,2889933
3316,2889907
3321,1921451
3324,1921407
3328,1922104
3331,1922156
3334,2155055
3336,2154890
3338,2475829
3344,2475764
3350,2421566
3352,2421460
3353,938119
3354,938256
3355,1748344
3361,1748330
3364,1474151
3369,1474190
3373,113468
3377,113404
3380,655501
3384,655394
3388,2067814
3390,2067786
3391,1277464
3393,1277496
3395,1288358
3396,1288601
3397,1283865
3400,1284077
3403,100420
3407,100323
3411,784087
3415,784153
3418,134211
3425,134172
3429,1274113
3434,1274208
3441,3207359
3448,3207332
3456,3010054
3461,3010313
3466,2625130
3471,2625015
3477,921297
3480,921226
3483,258305
3485,258189
3487,84730
3493,84604
3499,941673
3502,941978
3506,356813
3512,356946
3518,684556
3523,684842
3527,1733146
3529,1733209
3531,2984179
3534,2984223
3538,2019201
3543,2019242
3547,2733800
3549,2733811
3552,1101775
3556,1101764
3559,229245
3562,228845
3565,2995466
3569,2995518
3573,2228735
3575,2228855
3577,1260001
3578,1259905
3581,1756545
3587,1756619
3593,671146
3595,670997
3596,3207968
3599,3208048
3602,2237209
3606,2237181
3610,1569217
3612,1569131
3615,3159669
3618,3159725
3623,2467171
3625,2467246
3626,3121942
3630,3121918
3634,1803903
3636,1803956
3638,271886
3642,271879
3646,801575
3648,801692
3650,2964174
3653,2964202
3657,1822303
3662,1822336
3667,2029881
3668,2029811
3670,2264152
3673,2264194
3675,3261182
3677,3261122
3678,818465
3683,818357
3690,378293
3696,378333
3701,629307
3705,628981
3709,3082461
3712,3082374
3716,387804
3719,388215
3722,1269483
3727,1269432
3730,3326097
3734,3326180
3740,68094
3741,68260
3742,3434277
3745,3434340
3747,2594744
3754,2594823
3758,3386410
3764,3386438
3770,1904049
3771,1904263
3772,1697702
3774,1697836
3778,2878348
3781,2878422
3784,1353348
3790,1353192
3794,2689642
3796,2689869
3798,1138564
3802,1138655
3807,2250098
3813,2250136
3816,2170844
3819,2170942
3822,3385872
3824,3385842
3827,2562801
3829,2562827
3831,385625
3834,385708
3838,1830919
3842,1830841
3846,867760
3849,867720
3852,3214302
3853,3214273
3856,3048783
3858,3048746
3862,2565307
3868,2565144
3870,1720114
3874,1720165
3877,3225824
3883,3225676
3889,2254228
3893,2254323
3896,1467951
3897,1467932
3900,1476228
